Province,Type,Subregion,Name,latitude,longitude
Eastern Cape,Clinic,Resoviour Hills,Gustav Lamour Clinic,-33.815938,25.46398
Eastern Cape,Clinic,Cederville,Ntlola Clinic,-30.594405,29.084319
Eastern Cape,Clinic,Bambisana Hospital,Mzintlava Clinic,-31.40584,29.510428
Eastern Cape,Clinic,Mdantsane,Fezeka NU 3 Clinic,-32.931768,27.753004
Eastern Cape,Clinic,Grahamstown,Settlers Day Hospital,-33.307725,26.532283
Eastern Cape,Clinic,Adelaide,Bezuidenhoutville Clinic,-32.68805,26.29813
Eastern Cape,Clinic,Dordrecht,Dordrecht Clinic,-31.377304,27.047887
Eastern Cape,Clinic,Cerdock,Lingelihle Clinic,-32.180253,25.6291
Eastern Cape,Clinic,Alexandria,Alexandria Clinic,-33.651166,26.413786
Eastern Cape,Clinic,Matatiele,Matatiele Municipality Clinic,-30.333313,28.808658
Eastern Cape,Clinic,Vincent,Newhaven Hospital,-32.98286,27.90592
Eastern Cape,Clinic,Bathurst,Nolukhanyo Clinic,-33.493656,26.831371
Eastern Cape,Clinic,Molteno,Nomonde Clinic,-31.385671,26.359538
Eastern Cape,Clinic,Port Alfred,Nkwenkwezi Clinic,-33.577391,26.892501
Eastern Cape,Clinic,King Williams Town,Ginsberg Clinic,-32.892174,27.385266
Eastern Cape,Clinic,Missionvale,Missionvale Clinic,-33.87666,25.549961
Eastern Cape,Clinic,Kwanobuhle,Edamini Clinic,-33.832414,25.385955
Eastern Cape,Clinic,Kwanobuhle,Isolomzi Clinic,-33.825409,25.375398
Eastern Cape,Clinic,Hofmeyer,Hofmeyer Clinic,-31.655724,25.804267
Eastern Cape,Clinic,Fort Beaufort,CC Lloyd Clinic,-32.77502,26.63361
Eastern Cape,Clinic,Mndantsane,Nobuhle NU 8 Clinic,-32.940955,27.725112
Eastern Cape,Clinic,Mdantsane,Luyolo NU 9 Clinic,-32.926063,27.73391
Eastern Cape,Clinic,Michausdal,Michausdal Clinic,-32.173692,25.645032
Eastern Cape,Clinic,Indwe,Mcewula Clinic,-31.51225,27.528179
Eastern Cape,Clinic,Cathcart,Daliwe Clinic,-32.301795,27.151704
Eastern Cape,Clinic,Cookhouse,Bhongweni Clinic,-32.74653,25.798455
Eastern Cape,Clinic,Central,Central Clinic (Port Elizabeth),-33.964585,25.612789
Eastern Cape,Clinic,Molteno,Nceduluntu Clinic,-31.376821,26.354498
Eastern Cape,Clinic,Kwanobuhle,Mabandla Clinic,-33.806195,25.369781
Eastern Cape,Clinic,Indwe,Nompumelelo Clinic,-31.471441,27.347688
Eastern Cape,Clinic,Berlin,Berlin Clinic,-32.88395,27.57776
Eastern Cape,Clinic,Newtown,Newtown Clinic,-32.77402,26.61334
Eastern Cape,Clinic,Mdantsane,Nkqubela Hospital,-32.93284,27.74088
Eastern Cape,Clinic,Galvendale,Gelvandale Clinic,-33.9163,25.55013
Eastern Cape,Clinic,Galvendale,Helenvale Clinic,-33.911279,25.551799
Eastern Cape,Clinic,Korsten,Korsten CHC,-33.925352,25.56967
Eastern Cape,Clinic,Addo,Lukhanyiso Clinic,-33.522837,25.711041
Eastern Cape,Clinic,Uitkyk,Kareedouw Clinic,-33.951684,24.305658
Eastern Cape,Clinic,Somerset East,Aeroville Clinic,-32.750808,25.601076
Eastern Cape,Clinic,Alphendale,Alphendale Clinic,-33.013279,27.841346
Eastern Cape,Clinic,Tsomo,Khuze Clinic,-32.2134,27.628274
Eastern Cape,Clinic,Bizana,Amantshangase Clinic,-30.839589,29.587928
Eastern Cape,Clinic,Amalinda,John Dube Clinic,-32.991561,27.88565
Eastern Cape,Clinic,Orange Farm,Ngcengane Clinic,-31.537643,28.604193
Eastern Cape,Clinic,Buffalo Flats,Aspiranza Clinic,-33.019228,27.849545
Eastern Cape,Clinic,Kwadwesi,Kwadwesi Clinic,-33.848369,25.51866
Eastern Cape,Clinic,Mthatha,Baziya CHC,-31.614431,28.385099
Eastern Cape,Clinic,Cradock,High Street Clinic,-32.167248,25.616341
Eastern Cape,Clinic,Sterkspruit,Bensonvale Clinic,-30.582562,27.356668
Eastern Cape,Clinic,Aliwal North,Aliwal North Block H Clinic,-30.691622,26.680411
Eastern Cape,Clinic,Ellliotdale,Bomvana Clinic,-32.106372,28.812726
Eastern Cape,Clinic,Lusikisiki,Lusikisiki Village Clinic (Qaukeni),-31.365064,29.573178
Eastern Cape,Clinic,Libode,St Barnabas Hospital,-31.565208,29.117353
Eastern Cape,Clinic,Port St Johns,Kohlo Clinic,-31.549321,29.379748
Eastern Cape,Clinic,Mount Frere,Mdyobe Clinic,-31.132259,29.050711
Eastern Cape,Clinic,Elliotdale,Melitafa Clinic,-32.07117,28.680142
Eastern Cape,Clinic,Lusikisiki,Bomvini Clinic,-31.401671,29.472287
Eastern Cape,Clinic,Cathcart,Kati-Kati Clinic,-32.288389,27.155862
Eastern Cape,Clinic,Libode,Libode Clinic,-31.540018,29.024363
Eastern Cape,Clinic,Libode,Lutshaya Clinic,-31.322742,29.36108
Eastern Cape,Clinic,Lady Frere,Agnes Rest Clinic,-31.697272,27.031056
Eastern Cape,Clinic,Qumbu,Caba Clinic,-31.083777,28.613033
Eastern Cape,Clinic,Mthatha,Kambi Clinic,-31.492821,28.661469
Eastern Cape,Clinic,Sterkspruit,Musong Clinic,-30.490633,27.548054
Eastern Cape,Clinic,Tabankulu,Matubeni Clinic,-30.112592,29.315112
Eastern Cape,Clinic,Redoubt,Imizizi Clinic,-30.904938,29.969515
Eastern Cape,Clinic,Tabankulu,Ntshentshe Clinic,-30.707612,29.535137
Eastern Cape,Clinic,Uitenhage,Middle Street Clinic,-33.75772,25.390842
Eastern Cape,Clinic,Mdantsane,Nontyatyambo CHC,-32.940608,27.757677
Eastern Cape,Clinic,Mt. Frere,Lugangeni Clinic,-30.826852,28.935054
Eastern Cape,Clinic,Libode,Cwele Clinic,-31.672414,29.24055
Eastern Cape,Clinic,Shiluvana,Mncotsho Clinic,-32.934917,27.600172
Eastern Cape,Clinic,Mthatha,Ngangelizwe CHC,-31.601755,28.799664
Eastern Cape,Clinic,Kirkwood,Kirkwood Clinic,-33.402012,25.442649
Eastern Cape,Clinic,Kirkwood,Bergsig Clinic,-33.387515,25.450146
Eastern Cape,Clinic,Kirkwood,Moses Mabida Clinic,-33.397238,25.481546
Eastern Cape,Clinic,Sterkspruit,Hillside Clinic (Senqu),-30.561099,27.563748
Eastern Cape,Clinic,Mqanduli,Zitulele Hospital,-32.049093,29.059165
Eastern Cape,Clinic,Bizana,Baleni Clinic,-31.159225,29.971658
Eastern Cape,Clinic,Lady Frere,Bengu Clinic (Emalahleni),-31.792709,27.335165
Eastern Cape,Clinic,Tsolo,Mjika Clinic,-31.434572,28.646263
Eastern Cape,Clinic,Viedgesville,Mbekweni CHC,-31.719949,28.686582
Eastern Cape,Clinic,Iline Township,Ilinge Clinic,-31.977343,27.040419
Eastern Cape,Clinic,Viljoenskroon,Braelyn Extension Clinic,-33.003994,27.860727
Eastern Cape,Clinic,King Williams Town,Jafta Clinic,-32.798911,27.310558
Eastern Cape,Clinic,King Williams Town,Mdingi Clinic,-32.82356,27.330355
Eastern Cape,Clinic,Zwelitsha,Masakhane Clinic (Zwelitsha),-32.925458,27.43269
