Province,Type,Subregion,Name,Tel,Latitude,Longitude,Capacity,open,comment,,,Management,Contact Person
Eastern Cape,Shelter,Alfred Nzo  Bizana  Ndabankulu,Ubuntu Neighbours Group,079 693 2105/043 605 5171,,,2,yes,,,,NPO,Nozodwa Kobese
Eastern Cape,Shelter,Alfred Nzo  Umzimvubu  MT Frere,Mtshazi Safe Home,079 693 2105/043 605 5171,,,3,yes,,,,NPO  ,Nozodwa Kobese
Eastern Cape,Shelter,Amathole,Khanyisa Community Based,079 693 2105/043 605 5171,,,10,yes,,,,NPO,Nozodwa Kobese
Eastern Cape,Shelter,Amathole  Amahlathi  Stutterheim,Ikhwezi Women Support Centre,079 693 2105/043 605 5171,,,10,yes,,,,NPO,Nozodwa Kobese
Eastern Cape,Shelter,Amathole  Buffalo City  East London,Victory House,079 693 2105/043 605 5171,,,10,yes,previously Living Waters  now CMR run,,,NPO,Nozodwa Kobese
Eastern Cape,Shelter,Amathole  Buffalo City  East London,Masimanyane Women's Support Centre,079 693 2105/043 605 5171,,,15,yes,,,,NPO,Nozodwa Kobese
Eastern Cape,Shelter,Amathole  Mnquma  Butterworth,Butterworth Safe Home,079 693 2105/043 605 5171,,,5,yes,,,,NPO,Nozodwa Kobese
Eastern Cape,Shelter,Cacadu  Koukama  Humansdorp,Joubertina Safe House,079 693 2105/043 605 5171,,,6,yes,,,,NPO,Nozodwa Kobese
Eastern Cape,Shelter,Cacadu  Koukama  Humansdorp,On Eagles Wings Centre,079 693 2105/043 605 5171,,,5,yes,,,,NPO,Nozodwa Kobese
Eastern Cape,Shelter,Cacadu  Makana  Grahamstown,Makan Rape Survivor Support,079 693 2105/043 605 5171,,,4,yes,,,,NPO,Nozodwa Kobese
Eastern Cape,Shelter,Chris Hani ,Masikhawulelane Victim Empowerment,079 693 2105/043 605 5171,,,5,yes,,,,NPO,Nozodwa Kobese
Eastern Cape,Shelter,Chris Hani  Emalahleni  Lady Frere,Khuseleka Support Centre,079 693 2105/043 605 5171,,,3,yes,,,,NPO,Nozodwa Kobese
Eastern Cape,Shelter,Chris Hani  Instika Yethu  Confimvaba,Bolotwa Domestic Violence,079 693 2105/043 605 5171,,,3,yes,,,,NPO,Nozodwa Kobese
Eastern Cape,Shelter,Chris Hani  Lukhanji  Ezibeleni,Ezibeleni One Stop Centre,079 693 2105/043 605 5171,,,20,yes,,,,NPO,Nozodwa Kobese
Eastern Cape,Shelter,Joe Gqabi  Aliwal North,Burgersdorp Safe Home,079 693 2105/043 605 5171,,,4,yes,,,,NPO,Nozodwa Kobese
Eastern Cape,Shelter,Joe Gqabi  Maletswai  Aliwal North,Maletswai One Stop Centre,079 693 2105/043 605 5171,,,6,yes,,,,NPO,Nozodwa Kobese
Eastern Cape,Shelter,Mqanduli ,Safe Home,079 693 2105/043 605 5171,,,5,yes,,,,NPO,Nozodwa Kobese
Eastern Cape,Shelter,Nelson Mandela  NMM  Port Elizabeth,Kwanobuhle Outreach Centre,079 693 2105/043 605 5171,,,22,yes,,,,NPO,Nozodwa Kobese
Eastern Cape,Shelter,O R Tambo  King Sabatha Dali,Mtatha One Stop Centre,079 693 2105/043 605 5171,,,3,yes,,,,NPO,Nozodwa Kobese
Eastern Cape,Shelter,O R Tambo  Nyandeni  Libode / Ngqeleni,Soul Winners Support Centre,079 693 2105/043 605 5171,,,4,yes,,,,NPO,Nozodwa Kobese
Free State,Shelter,Fezile Dabi ,Tumahole ,071 857 4086/051 409 0566/051 409 0562,,,10,yes,,,,NPO ,Ms Prudence Ramolefe
Free State,Shelter,Lejweleputswa ,Goldfields Family Advice Organization,071 857 4086/051 409 0566/051 409 0562,,,16,yes,,,,NPO ,Ms Prudence Ramolefe
Free State,Shelter,Motheo ,Serobe (The Nest shelter),071 857 4086/051 409 0566/051 409 0562,,,16,yes,,,,NPO ,Ms Prudence Ramolefe
Free State,Shelter,Thabo Mofutsanyane ,Thusanang Advice Centre,071 857 4086/051 409 0566/051 409 0562,,,8,yes,,,,NPO ,Ms Prudence Ramolefe
Free State,Shelter,Thabo Mofutsanyane ,Child and Family Welfare,071 857 4086/051 409 0566/051 409 0562,,,6,yes,,,,,Ms Prudence Ramolefe
Free State,Shelter,Xhariep ,Bolokanang ,071 857 4086/051 409 0566/051 409 0562,,,11,yes,,,,NPO ,Ms Prudence Ramolefe
Free State,Shelter,Xhariep ,Philani ,071 857 4086/051 409 0566/051 409 0562,,,7,yes,,,,NPO ,Ms Prudence Ramolefe
Free State,Shelter,Xhariep ,Tshireletso ,071 857 4086/051 409 0566/051 409 0562,,,12,yes,,,,NPO ,Ms Prudence Ramolefe
Free State,Shelter,Xhariep ,Siville ,071 857 4086/051 409 0566/051 409 0562,,,6,yes,,,,NPO ,Ms Prudence Ramolefe
Gauteng,Shelter,Alberton,Amcare ,079 891 5893/082 469 0592/011 355 7862/011 355 7854,,,20,yes,,,,NPO ,Ms Estelle Otto/ Ms Myrtle Morris
Gauteng,Shelter,Alexandra ,Bombani ,079 891 5893/082 469 0592/011 355 7862/011 355 7854,,,20,yes,,,,NPO ,Ms Estelle Otto/ Ms Myrtle Morris
Gauteng,Shelter,Bekkersdal ,Are Ageng ,079 891 5893/082 469 0592/011 355 7862/011 355 7854,,,16,yes,,,,NPO ,Ms Estelle Otto/ Ms Myrtle Morris
Gauteng,Shelter,Benoni,Bethesda ,079 891 5893/082 469 0592/011 355 7862/011 355 7854,,,10,yes,,,,NPO ,Ms Estelle Otto/ Ms Myrtle Morris
Gauteng,Shelter,Boksburg ,Mercy Haven ,079 891 5893/082 469 0592/011 355 7862/011 355 7854,,,16,yes,,,,NPO ,Ms Estelle Otto/ Ms Myrtle Morris
Gauteng,Shelter,Braamfontein ,Ikhaya Le Themba Life Line,079 891 5893/082 469 0592/011 355 7862/011 355 7854,,,140,yes,,,,State,Ms Estelle Otto/ Ms Myrtle Morris
Gauteng,Shelter,Bronkhorstspruit ,Mali Martin ,079 891 5893/082 469 0592/011 355 7862/011 355 7854,,,14,yes,,,,NPO ,Ms Estelle Otto/ Ms Myrtle Morris
Gauteng,Shelter,Capital Park  Pretoria ,Mercy House ,079 891 5893/082 469 0592/011 355 7862/011 355 7854,,,18,yes,,,,NPO ,Ms Estelle Otto/ Ms Myrtle Morris
Gauteng,Shelter,Daveyton ,Theodorah Ndaba Shield of Love,079 891 5893/082 469 0592/011 355 7862/011 355 7854,,,6,yes,,,,NPO ,Ms Estelle Otto/ Ms Myrtle Morris
Gauteng,Shelter,Ekurhuleni ,People opposing Women Abuse,079 891 5893/082 469 0592/011 355 7862/011 355 7854,,,10,yes,,,,NPO ,Ms Estelle Otto/ Ms Myrtle Morris
Gauteng,Shelter,Eldorado Park ,Eldorado Park Women Forum,079 891 5893/082 469 0592/011 355 7862/011 355 7854,,,12,yes,,,,NPO ,Ms Estelle Otto/ Ms Myrtle Morris
Gauteng,Shelter,Johannesburg,Usindiso Ministries ,079 891 5893/082 469 0592/011 355 7862/011 355 7854,,,30,yes,,,,NPO ,Ms Estelle Otto/ Ms Myrtle Morris
Gauteng,Shelter,Krugersdorp ,Polokego shelter ,079 891 5893/082 469 0592/011 355 7862/011 355 7854,,,70,yes,,,,NPO ,Ms Estelle Otto/ Ms Myrtle Morris
Gauteng,Shelter,Lenasia,NISAA Institute ,079 891 5893/082 469 0592/011 355 7862/011 355 7854,,,22,yes,,,,NPO ,Ms Estelle Otto/ Ms Myrtle Morris
Gauteng,Shelter,Pretoria ,Beth Shan Salvation Army,079 891 5893/082 469 0592/011 355 7862/011 355 7854,,,21,yes,,,,NPO ,Ms Estelle Otto/ Ms Myrtle Morris
Gauteng,Shelter,Pretoria ,Potters House ,079 891 5893/082 469 0592/011 355 7862/011 355 7854,,,16,yes,,,,NPO ,Ms Estelle Otto/ Ms Myrtle Morris
Gauteng,Shelter,Pretoria ,PAHA ,079 891 5893/082 469 0592/011 355 7862/011 355 7854,,,10,yes,,,,NPO ,Ms Estelle Otto/ Ms Myrtle Morris
Gauteng,Shelter,Randfontein ,Riet Family Guidance Institute,079 891 5893/082 469 0592/011 355 7862/011 355 7854,,,70,yes,,,,NPO ,Ms Estelle Otto/ Ms Myrtle Morris
Gauteng,Shelter,Randfontein ,SAVF ,079 891 5893/082 469 0592/011 355 7862/011 355 7854,,,34,yes,,,,NPO ,Ms Estelle Otto/ Ms Myrtle Morris
Gauteng,Shelter,Springs ,Leratong Place of Love,079 891 5893/082 469 0592/011 355 7862/011 355 7854,,,21,yes,,,,NPO ,Ms Estelle Otto/ Ms Myrtle Morris
Gauteng,Shelter,Toekomsrus ,WAWA ,079 891 5893/082 469 0592/011 355 7862/011 355 7854,,,40,yes,,,,NPO ,Ms Estelle Otto/ Ms Myrtle Morris
Gauteng,Shelter,Vanderbylpark ,Bella Maria ,079 891 5893/082 469 0592/011 355 7862/011 355 7854,,,11,yes,,,,NPO ,Ms Estelle Otto/ Ms Myrtle Morris
KwaZulu Natal,Shelter,Ashburton ,Abrina Esther House,086 607 5703/033 264 2000,,,35,yes,,,,NPO ,Ms Renitha Veerasamy
KwaZulu Natal,Shelter,Chatsworth ,VJ Kara Family Center ,086 607 5703/033 264 2000,,,19,yes,,,,NPO ,Ms Renitha Veerasamy
KwaZulu Natal,Shelter,Dundee ,Dundee Crisis Centre ,086 607 5703/033 264 2000,,,25,yes,,,,NPO ,Ms Renitha Veerasamy
KwaZulu Natal,Shelter,Durban ,KERR House ,086 607 5703/033 264 2000,,,15,yes,,,,NPO ,Ms Renitha Veerasamy
KwaZulu Natal,Shelter,Durban ,Kenilworth Respite Centre,086 607 5703/033 264 2000,,,10,yes,,,,NPO ,Ms Renitha Veerasamy
