Province,Type,Name,Tel,Longitude,Latitude
Eastern Cape,District Hospital,Aberdeen Hospital,0498460497/0498460630,24.054372,-32.473958
Eastern Cape,Satellite Clinic,Addo Clinic,422330358,25.68993,-33.546594
Eastern Cape,Clinic,Adelaide Gateway Clinic,046-6840066,26.29404,-32.69994
Eastern Cape,District Hospital,Adelaide Hospital,046-6840066,26.29427,-32.70092
Eastern Cape,Clinic,Aeroville Clinic,422433446,25.601076,-32.750808
Eastern Cape,Clinic,Afsondering Clinic,084-6806543,28.948674,-30.179141
Eastern Cape,Clinic,Agnes Rest Clinic,071-8543796,27.031056,-31.697272
Eastern Cape,Clinic,Alexandria Clinic,466530333,26.413786,-33.651166
Eastern Cape,Clinic,Algoa Frail Care Centre,041-3728013,25.48888,-33.87848
Eastern Cape,Clinic,Algoa Park Clinic,414522058,25.56466,-33.900956
Eastern Cape,Clinic,Aliwal North Block H Clinic,051-6341074,26.680411,-30.691622
Eastern Cape,District Hospital,Aliwal North Hospital,0516342381/2/3,26.70719,-30.697167
Eastern Cape,Clinic,All Saints Gateway Clinic,083-3780595,28.046663,-28.04807
Eastern Cape,District Hospital,All Saints Hospital,047-5481115,28.046663,-31.66098
Eastern Cape,Clinic,Alphendale Clinic,043-7334496,27.841346,-33.013279
Eastern Cape,Clinic,Amabele Clinic,043-7829022,27.52389,-32.66337
Eastern Cape,Clinic,Amadiba Clinic,083-3780667,30.179014,-31.073091
Eastern Cape,Clinic,Amahleke Clinic,040-6562481,27.230218,-32.834766
Eastern Cape,Clinic,Amandengane Clinic,071-8543793,29.750606,-31.099178
Eastern Cape,Clinic,Amantshangase Clinic,083-3780694,29.587928,-30.839589
Eastern Cape,Clinic,Amathole Basin Clinic,083-3781193,26.99311,-32.69596
Eastern Cape,District Hospital,Andries Vosloo Hospital,422431311,25.591224,-32.731182
Eastern Cape,Satellite Clinic,Andrieskraal Satellite Clinic,082-8295348,24.640381,-33.746529
Eastern Cape,Clinic,Anglo African Street Clinic,466223430,26.525867,-33.311444
Eastern Cape,Clinic,Askeaton Clinic,083-3031668,27.460434,-31.625093
Eastern Cape,Clinic,Aspiranza Clinic,043-7332191,27.849545,-33.019228
Eastern Cape,Clinic,Assina Mandla Clinic,406536855,26.7941,-32.75045
Eastern Cape,Clinic,Bacclesfarm Clinic,040-8451232,26.461371,-32.040569
Eastern Cape,Clinic,Badi Clinic,833780548,28.662158,-32.287058
Eastern Cape,Clinic,Bala Clinic,071-8595987,29.53658,-30.99031
Eastern Cape,Clinic,Baleni Clinic,083-3781136,29.971658,-31.159225
Eastern Cape,Clinic,Balfour Clinic,073-4131543,26.68213,-32.54578
Eastern Cape,District Hospital,Bambisana Hospital,039-2537923,29.454045,-31.451172
Eastern Cape,Clinic,Bambisana PHC Clinic,039-9257923,29.45341,-31.45022
Eastern Cape,Clinic,Banzi Clinic,083-3781171,27.520087,-32.126371
Eastern Cape,Clinic,Baroda Clinic,048-8813419,25.51043,-32.00237
