Province,Type,Subregion,Name,Latitude,Longitude,Tel
Eastern Cape,Police,Kubusiedrift,Kubusiedrift,-32.56819,27.62384,
Eastern Cape,Police,Stutterheim,Stutterheim,-32.57118,27.42741,
Eastern Cape,Police,Motherwell,Motherwell,-33.79664,25.58419,
Eastern Cape,Police,Kwadwesi,Kwadwesi,-33.84109,25.52347,
Eastern Cape,Police,Cradock,Cradock,-32.1756,25.62571,
Eastern Cape,Police,Indwe,Indwe,-31.47124,27.33555,
Eastern Cape,Police,Rossouw,Rossouw,-31.16777,27.27997,
Eastern Cape,Police,Elands Height,Elands Height,-30.80423,28.22494,
Eastern Cape,Police,Maclear,Maclear,-31.06708,28.34897,
Eastern Cape,Police,Wolwefontein,Wolwefontein,-33.29291,24.82834,
Eastern Cape,Police,Addo,Addo,-33.54769,25.69029,
Eastern Cape,Police,Msobomvu,Msobomvu,-32.32437,28.186,
Eastern Cape,Police,Ntabankulu,Ntabankulu,-30.95517,29.30275,
Eastern Cape,Police,Maluti,Maluti,-30.26205,28.78647,
Eastern Cape,Police,Lukholweni,Lukholweni,-30.64249,28.85494,
Eastern Cape,Police,Komga,Komga,-32.57532,27.89203,
Eastern Cape,Police,Grahamstown,Grahamstown,-33.31163,26.53445,
Eastern Cape,Police,Maletswai,Maletswai,-30.69442,26.69165,
Eastern Cape,Police,Kei Mouth,Kei Mouth,-32.6788,28.37477,
Eastern Cape,Police,King William'S Town,King William'S Town,-32.87139,27.39139,
Eastern Cape,Police,Kei Road,Kei Road,-32.70575,27.54653,
Eastern Cape,Police,Kidds Beach,Kidds Beach,-33.14929,27.69525,
Eastern Cape,Police,Punzana,Punzana,-33.06903,27.44577,
Eastern Cape,Police,Centane,Centane,-32.51021,28.3202,
Eastern Cape,Police,Ezibeleni,Ezibeleni,-31.90484,26.95282,
Eastern Cape,Police,Idutywa,Idutywa,-32.10058,28.30797,
Eastern Cape,Police,Floukraal,Floukraal,-30.99623,27.05484,
Eastern Cape,Police,Jamestown,Jamestown,-31.1205,26.81023,
Eastern Cape,Police,Lady Grey,Lady Grey,-30.71202,27.20923,
Eastern Cape,Police,Molteno,Molteno,-31.39491,26.36142,
Eastern Cape,Police,Nemato,Nemato,-33.57672,26.89275,
Eastern Cape,Police,East London,East London,-33.02058,27.90288,
Eastern Cape,Police,Flagstaff,Flagstaff,-31.08187,29.49472,
Eastern Cape,Police,Bizana,Bizana,-30.85428,29.85939,
Eastern Cape,Police,Bridge Camp,Bridge Camp,-32.02197,27.3588,
Eastern Cape,Police,Ngqeleni,Ngqeleni,-31.67193,29.03225,
Eastern Cape,Police,Duncan Village,Duncan Village,-33.00505,27.88872,
Eastern Cape,Police,Gonubie,Gonubie,-32.9366,28.00084,
Eastern Cape,Police,Bluewater,Bluewater,-32.72743,27.95053,
Eastern Cape,Police,Beacon Bay,Beacon Bay,-32.96884,27.93836,
Eastern Cape,Police,Berlin,Berlin,-32.87859,27.5732,
Eastern Cape,Police,Moyeni,Moyeni,-33.48006,27.13021,
Eastern Cape,Police,Inyibiba,Inyibiba,-32.95596,27.69467,
Eastern Cape,Police,Whittlesea,Whittlesea,-32.17097,26.82443,
Eastern Cape,Police,Kleinbulhoek,Kleinbulhoek,-32.16655,26.575,
Eastern Cape,Police,Henderson,Henderson,-32.3144,27.33609,
Eastern Cape,Police,Cedarville,Cedarville,-30.39106,29.04574,
Eastern Cape,Police,Vulindlela,Vulindlela,-32.92197,27.71242,
Eastern Cape,Police,Ilinge,Ilinge,-31.97622,27.03843,
Eastern Cape,Police,Queenstown,Queenstown,-31.89704,26.87144,
Eastern Cape,Police,Kwanobuhle,Kwanobuhle,-33.81395,25.39782,
Eastern Cape,Police,Bathurst,Bathurst,-33.50484,26.83917,
Eastern Cape,Police,Hankey,Hankey,-33.83223,24.88528,
Eastern Cape,Police,Humansdorp,Humansdorp,-34.02798,24.77275,
Eastern Cape,Police,Kareedouw,Kareedouw,-33.95386,24.29433,
Eastern Cape,Police,Kirkwood,Kirkwood,-33.39892,25.44409,
Eastern Cape,Police,Storms River,Storms River,-33.97407,23.8889,
Eastern Cape,Police,Bethelsdorp,Bethelsdorp,-33.87062,25.51261,
Eastern Cape,Police,Despatch,Despatch,-33.80317,25.47264,
Eastern Cape,Police,Kolomane,Kolomane,-32.42247,26.78883,
Eastern Cape,Police,Mthatha,Mthatha,-31.58173,28.77164,
Eastern Cape,Police,Healdtown,Healdtown,-32.74839,26.64999,
Eastern Cape,Police,Gelvandale,Gelvandale,-33.91055,25.5503,
Eastern Cape,Police,Kenton On Sea,Kenton On Sea,-33.68053,26.66674,
Eastern Cape,Police,Ida,Ida,-31.40925,27.55116,
Eastern Cape,Police,Aliwal North,Aliwal North,-30.68748,26.71103,
Eastern Cape,Police,Steynsburg,Steynsburg,-31.29284,25.82328,
Eastern Cape,Police,Burgersdorp,Burgersdorp,-30.99708,26.33273,
Eastern Cape,Police,Fort Beaufort,Fort Beaufort,-32.77701,26.63555,
Eastern Cape,Police,Kinkelbos,Kinkelbos,-33.64669,25.87827,
Eastern Cape,Police,Kwazakele,Kwazakele,-33.87626,25.58308,
Eastern Cape,Police,Mpisi,Mpisi,-31.14658,29.93013,
Eastern Cape,Police,Phumalanga,Phumalanga,-30.57749,27.57751,
Eastern Cape,Police,Cofimvaba,Cofimvaba,-32.00375,27.58411,
Eastern Cape,Police,Bedford,Bedford,-32.68363,26.08275,
Eastern Cape,Police,Sterkstroom,Sterkstroom,-31.55052,26.55598,
Eastern Cape,Police,Graaff-Reinet,Graaff-Reinet,-32.25286,24.53989,
Eastern Cape,Police,Dimbaza,Dimbaza,-32.83365,27.20597,
Eastern Cape,Police,Elliotdale,Elliotdale,-31.96778,28.68342,
Eastern Cape,Police,Lusikisiki,Lusikisiki,-31.36889,29.57499,
Eastern Cape,Police,Mzamba,Mzamba,-31.07529,30.18437,
Eastern Cape,Police,Sterkspruit,Sterkspruit,-30.52837,27.37134,
Eastern Cape,Police,Tsomo,Tsomo,-32.03707,27.81802,
Eastern Cape,Police,Ikamvelihle,Ikamvelihle,-33.79741,25.60843,
Eastern Cape,Police,Sulenkama,Sulenkama,-31.01688,28.68437,
Eastern Cape,Police,Coffee Bay,Coffee Bay,-31.97848,29.14881,
Eastern Cape,Police,Kwaaiman,Kwaaiman,-31.9192,28.97806,
Eastern Cape,Police,Fort Brown,Fort Brown,-33.12978,26.61773,
