Province,Type,Subregion,Name,Tel,Latitude,Longitude,Capacity,open,Management,Contact Person,comment
Eastern Cape,Shelter,Alfred Nzo  Bizana  Ndabankulu,Ubuntu Neighbours Group,0796932105/0436055171,-30.988838,29.286140,2,yes,NPO,Nozodwa Kobese,
Eastern Cape,Shelter,Mount Frere,Mtshazi Safe Home,0796932105/0436055171,-30.891821,28.985235,3,yes,NPO  ,Nozodwa Kobese,
Eastern Cape,Shelter,Amathole,Khanyisa Victim Empowerment Centre,0796932105/0436055171,-33.028765,27.855678,10,yes,NPO,Nozodwa Kobese,
Eastern Cape,Shelter,Stutterheim,Ikhwezi Women Support Centre,0796932105/0436055171,-32.588728,27.432751,10,yes,NPO,Nozodwa Kobese,
Eastern Cape,Shelter,East London,Victory House,0796932105/0436055171,-33.004385,27.906491,10,yes,NPO,Nozodwa Kobese,previously Living Waters  now CMR run
Eastern Cape,Shelter,East London,Masimanyane Women's Support Centre,0796932105/0436055171,-32.999956,27.907433,15,yes,NPO,Nozodwa Kobese,
Eastern Cape,Shelter,Butterworth,Butterworth Safe Home,0796932105/0436055171,-32.332319,28.147684,5,yes,NPO,Nozodwa Kobese,
Eastern Cape,Shelter,Humansdorp,Joubertina Safe House,0796932105/0436055171,-34.003312,24.742145,6,yes,NPO,Nozodwa Kobese,
Eastern Cape,Shelter,Humansdorp,On Eagles Wings Centre,0796932105/0436055171,-34.003312,24.742145,5,yes,NPO,Nozodwa Kobese,
Eastern Cape,Shelter,Grahamstown,Makan Rape Survivor Support,0796932105/0436055171,-33.309886,26.517944,4,yes,NPO,Nozodwa Kobese,
Eastern Cape,Shelter,Chris Hani ,Masikhawulelane Victim Empowerment,0796932105/0436055171,-31.911690,26.925195,5,yes,NPO,Nozodwa Kobese,
Eastern Cape,Shelter,Lady Frere,Khuseleka Support Centre,0796932105/0436055171,-31.667218,27.054440,3,yes,NPO,Nozodwa Kobese,
Eastern Cape,Shelter,Confimvaba,Bolotwa Domestic Violence,0796932105/0436055171,-32.018681,27.588843,3,yes,NPO,Nozodwa Kobese,
Eastern Cape,Shelter,Ezibeleni,Ezibeleni One Stop Centre,0796932105/0436055171,-31.912714,26.961870,20,yes,NPO,Nozodwa Kobese,
Eastern Cape,Shelter,Joe Gqabi  Aliwal North,Burgersdorp Safe Home,0796932105/0436055171,-30.697753,26.721248,4,yes,NPO,Nozodwa Kobese,
Eastern Cape,Shelter,Joe Gqabi  Maletswai  Aliwal North,Maletswai One Stop Centre,0796932105/0436055171,-30.697753,26.721248,6,yes,NPO,Nozodwa Kobese,
Eastern Cape,Shelter,Mqanduli ,Safe Home,0796932105/0436055171,-31.815069,28.759354,5,yes,NPO,Nozodwa Kobese,
Eastern Cape,Shelter,Port Elizabeth,Kwanobuhle Outreach Centre,0796932105/0436055171,-33.959681,25.588916,22,yes,NPO,Nozodwa Kobese,
Eastern Cape,Shelter,Mtatha,Mtatha One Stop Centre,0796932105/0436055171,-31.606646,28.778505,3,yes,NPO,Nozodwa Kobese,
Eastern Cape,Shelter,Ngqeleni,Soul Winners Support Centre,0796932105/0436055171,-31.669129,29.034333,4,yes,NPO,Nozodwa Kobese,
Free State,Shelter,"Fezile Dabi, Tumahole  ",Tumahole ,0718574086/0514090566/0514090562,-26.917552,27.484604,10,yes,NPO ,Ms Prudence Ramolefe,
Free State,Shelter,Welkom,Goldfields Family Advice Organization,0718574086/0514090566/0514090562,-28.006368,26.775608,16,yes,NPO ,Ms Prudence Ramolefe,
Free State,Shelter,Bloemfontein,Serobe (The Nest shelter),0718574086/0514090566/0514090562,-29.089381,26.160471,16,yes,NPO ,Ms Prudence Ramolefe,
Free State,Shelter,"Phuthaditjhaba, Thabo Mofutsanyane ",Thusanang Advice Centre,0718574086/0514090566/0514090562,-28.553334,28.818565,8,yes,NPO ,Ms Prudence Ramolefe,
