Province,Type,Subregion,Name,Tel,Latitude,Longitude
Eastern Cape,Shelter,Cathcart,Ikhwezi Women Support Centre,045-8432110,-32.3,27.1
Eastern Cape,Shelter,"East London, Southernwood",Victory House ,043-7226104,-33,27.9
Eastern Cape,Shelter,"East London, Southernwood",Masimanyane Shelter ,043-7439169,-33,27.9
Eastern Cape,Shelter,Jeffrey'S Bay,On Eagles Wings Multipurpose Centre,042-2933985,-34.1,24.9
Eastern Cape,Shelter,King Williams Town,Khanyisa Victim Empowerment Centre,043-6421646,-32.9,27.4
Eastern Cape,Shelter,Port Elizabeth,Rape Crisis Centre (Shelter Under Construction),041-4843804,-34,25.6
Eastern Cape,Shelter,Uitenhage,Kwanobuhle Outreach Centre (Government-Run Shelter),041-9781499,-33.8,25.4
Free State,Shelter,Bethlehem,Child & Family Welfare,058-3034701,-28.2,28.3
Free State,Shelter,Parys,Tumahole Victim Support Centre ,056-8198881,-26.9,27.5
Free State,Shelter,Qwaqwa,Thusanang Advice Centre Shelter ,058-7136074,-28.6,28.8
Free State,Shelter,Welkom,Goldfields Family Advice Organisation,057-3966153,-28,26.8
Gauteng,Shelter,Alexandra,Bombani Shelter,011-0271513,-26.1,28.1
Gauteng,Shelter,Benoni,Antioch Place Of Shelter,011-8454811,-26.2,28.4
Gauteng,Shelter,Ekurhuleni,Ctc Bethesda House,011-8452224,-26.2,28.2
Gauteng,Shelter,Alberton,Amcare Hannah House,011-8695856,-26.3,28.1
Gauteng,Shelter,Ekurhuleni,Powa (East Rand),011-9010292,-26.2,28.2
Gauteng,Shelter,Ekurhuleni,Mercy Haven,011-8922714,-26.2,28.2
Gauteng,Shelter,Ekurhuleni,House Of Hope (T/A Leratong Crisis Centre),011-3631368,-26.2,28.2
Gauteng,Shelter,Daveyton,Theodora Ndaba Victim Support Centre,011-4264776,-26.2,28.4
Gauteng,Shelter,Johannesburg Metro,Usindiso,0113341143/4,-26.2,28
Gauteng,Shelter,Johannesburg Metro,Ikhaya Lethemba (Government-Run Shelter),011-2423000/1/38,-26.2,28
Gauteng,Shelter,Johannesburg Metro,Eldorado Park Women'S Forum,011-9456433,-26.2,28
Gauteng,Shelter,Johannesburg Metro,Home Of Hope,011-3314467,-26.2,28
Gauteng,Shelter,Johannesburg Metro,Little Saints Bethany,011-6143245,-26.2,28
Gauteng,Shelter,Lenasia Extension 1,Nisaa Institute For Women'S Development,011-8545804/5,-26.3,27.8
Gauteng,Shelter,North Rand,Beth Shan Shelter,012-3796671,-26.2,28.3
Gauteng,Shelter,Sizanani Village,Mercy House,012-3296682,-25.8,28.8
Gauteng,Shelter,North Rand,Mali Martin,013-9358032,-26.2,28.3
Gauteng,Shelter,North Rand,The Potter House,012-3202123,-26.2,28.3
Gauteng,Shelter,Pretoria West,Youth For Survival,012-3040001,-25.8,28.2
Gauteng,Shelter,"Pretoria, Atteridgeville",Re-Bafenyi Victim Empowerment,012-3737948,-25.8,28.1
Gauteng,Shelter,Sedibeng,Bella Maria,016-4281640,-26.7,28.2
Gauteng,Shelter,West Rand,Are Areng,011-4121940/011-6921945,-26.3,27.5
Gauteng,Shelter,West Rand,Polokego,011-6651723,-26.3,27.5
Gauteng,Shelter,Carltonville,SAVF Deurgangshuis,018-7861016,-26.4,27.4
Gauteng,Shelter,Florida,POWA (West Rand),011-4726631,-26.2,27.9
Gauteng,Shelter,West Rand,WAWA Toekomsrus,011-6934504,-26.3,27.5
Kwazulu-Natal,Shelter,Dundee,Dundee Crisis Centre,034-2122544,-28.2,30.2
Kwazulu-Natal,Shelter,Durban,Kerr House,031-3032912,-29.9,31
Kwazulu-Natal,Shelter,Durban,Kenilworth Respite Centre,031-2076483,-29.9,31
Kwazulu-Natal,Shelter,Pietermaritzburg,Abrina Esther House,033-3455843,-29.6,30.4
Kwazulu-Natal,Shelter,Pietermaritzburg,The Haven,033-3940228,-29.6,30.4
Kwazulu-Natal,Shelter,Pinetown,Open Door Crisis Centre,031-7092679,-29.8,30.8
Kwazulu-Natal,Shelter,Pinetown,Ethembeni Crisis Centre,031-7046860,-29.8,30.8
Kwazulu-Natal,Shelter,Sundumbili,The House Of Hope And Recovery,032-4542347,-29.1,31.4
Limpopo,Shelter,Polokwane,Ekuphumleni Restoration Home ThyREST,015-2230091,-23.9,29.5
Limpopo,Shelter,Polokwane,Khuseleka One Stop Centre (Government-Run Shelter),015-2931182/5,-23.9,29.5
Mpumalanga,Shelter,Badplass,Badplass Shelter,017-8441454,-26,30.5
Mpumalanga,Shelter,Kwamhlanga,Leseding Women'S Shelter (Government-Run Shelter),013-9472737,-25.4,28.7
Mpumalanga,Shelter,Low'S Creek,Louiville Shelter (Government-Run Shelter),013-7100105,-25.6,31.3
Mpumalanga,Shelter,Malubane Mkhuhlu,Calcultta Shelter,013-0070864,-25,31.2
Mpumalanga,Shelter,Middleburg,Victim Support Centre (Shelter Closed But Psychosocial Services Still On Offer),013-2432732,-25.8,29.5
Mpumalanga,Shelter,Mmametlhake,Tirisano Victim Empowerment Centre,012-7213872,-25.1,28.5
Mpumalanga,Shelter,Msogwaba,Grace Shelter,,-25.4,31.2
Mpumalanga,Shelter,Nelspruit,Grip Shelter,013-7524404,-25.5,31
Mpumalanga,Shelter,Thulamahashe,Mhala Shelter,013-7739871,-24.7,31.2
North West,Shelter,Mooi Nooi,Grace Help Shelter,014-5743476,-25.8,27.6
Northern Cape,Shelter,De Aar,Ethembeni Community  And Trauma Centre,053-6314379,-30.7,24
Northern Cape,Shelter,Upington,Bopanang One Stop Centre (Government-Run Shelter),054-3323876,-28.4,21.2
Northern Cape,Shelter,Kimberley,Kimberely Shelter (Government-Run Shelter),053-8749263,-28.7,24.8
Northern Cape,Shelter,Kimberley,Tamar Shelter (Currenly Under Renovation),053-8321954,-28.7,24.8
Western Cape,Shelter,Athlone,Saartjie Baartman Womens Centre,021-6335287,-34,18.5
Western Cape,Shelter,Atlantis,United Sanctuary Against Abuse,021-5728662,-33.5,18.5
Western Cape,Shelter,Claremont,Mater Domini Home ,021-6716008,-34,18.5
Western Cape,Shelter,Fishhoek,The Safehouse,021-7851168,-34.1,18.4
Western Cape,Shelter,Gatesville,Carehaven,021-6385511,-34,18.5
Western Cape,Shelter,George East,BWP Oteniqua Refuse For Women & Children ,044-8751551,-34,22.5
Western Cape,Shelter,Gugulethu,Dorothy Zihlangu Transitional Home,021-6332383,-34,18.6
Western Cape,Shelter,Kenilworth,Sisters Incorporated,021-7974190,-34,18.5
Western Cape,Shelter,Khayelitsha,Nonceba Centre Trust,021-3640135,-34,18.7
Western Cape,Shelter,Mossel Bay,Creating Effective Families ,044-6931092,-34.2,22.1
Western Cape,Shelter,Paarl,Athlone House Of  Hope,021-8629983,-33.7,19
Western Cape,Shelter,Parow,St Mary'S Home Of Hope,021-9300700,-33.9,18.6
Western Cape,Shelter,Philipi,Sizakuenza ,021-3740800,-34,18.6
Western Cape,Shelter,Ravensmead,Dusk To Dawn ,021-1931320,-33.9,18.6
Western Cape,Shelter,Stellenbosch,L Abrie De Dieu Safe House,021-8832572,-33.9,18.9
Western Cape,Shelter,Vredenberg,Siyabonga Shelter,022-7134050,-32.9,18
Western Cape,Shelter,Welcome Estate,Ihata ,021-6386678,-34,18.5
Western Cape,Shelter,Woodstock,St. Anne's Homes ,021-4486792,-33.9,18.5
Western Cape,Shelter,Worcester,House Of Hope,023-3423167,-33.7,19.5
