Province,Type,beds,Subregion,Name,latitude,longitude
Eastern Cape,Shelter,20,Cathcart,Ikhwezi Women Support Centre,-32.2973193,27.1323579
Eastern Cape,Shelter,20,"East London, Southernwood",Victory House ,-32.9999033,27.9058596
Eastern Cape,Shelter,20,"East London, Southernwood",Masimanyane Shelter ,-32.9999033,27.9058596
Eastern Cape,Shelter,20,Jeffrey'S Bay,On Eagles Wings Multipurpose Centre,-34.0506714,24.9101544
Eastern Cape,Shelter,20,King Williams Town,Khanyisa Victim Empowerment Centre,-32.8938109,27.4203974
Eastern Cape,Shelter,20,Port Elizabeth,Rape Crisis Centre (Shelter Under Construction),-33.9608369,25.6022423
Eastern Cape,Shelter,20,Uitenhage,Kwanobuhle Outreach Centre (Government-Run Shelter),-33.768717,25.4141193
Free State,Shelter,23,Bethlehem,Child & Family Welfare,-28.2423025,28.3111262
Free State,Shelter,23,Parys,Tumahole Victim Support Centre ,-26.9110891,27.4908738
Free State,Shelter,23,Qwaqwa,Thusanang Advice Centre Shelter ,-28.5530273,28.824722
Free State,Shelter,23,Welkom,Goldfields Family Advice Organisation,-28.0045655,26.7732162
Gauteng,Shelter,24,Alexandra,Bombani Shelter,-26.1033012,28.0976369
Gauteng,Shelter,24,Benoni,Antioch Place Of Shelter,-26.1510854,28.3695699
Gauteng,Shelter,24,Ekurhuleni,Ctc Bethesda House,-26.2185888,28.1628568
Gauteng,Shelter,24,Alberton,Amcare Hannah House,-26.3223942,28.1239717
Gauteng,Shelter,24,Ekurhuleni,Powa (East Rand),-26.2185888,28.1628568
Gauteng,Shelter,24,Ekurhuleni,Mercy Haven,-26.2185888,28.1628568
Gauteng,Shelter,24,Ekurhuleni,House Of Hope (T/A Leratong Crisis Centre),-26.2185888,28.1628568
Gauteng,Shelter,24,Daveyton,Theodora Ndaba Victim Support Centre,-26.1452452,28.4221519
Gauteng,Shelter,24,Johannesburg Metro,Usindiso,-26.1704415,27.9717606
Gauteng,Shelter,24,Johannesburg Metro,Ikhaya Lethemba (Government-Run Shelter),-26.1704415,27.9717606
Gauteng,Shelter,24,Johannesburg Metro,Eldorado Park Women'S Forum,-26.1704415,27.9717606
Gauteng,Shelter,24,Johannesburg Metro,Home Of Hope,-26.1704415,27.9717606
Gauteng,Shelter,24,Johannesburg Metro,Little Saints Bethany,-26.1704415,27.9717606
Gauteng,Shelter,24,Lenasia Extension 1,Nisaa Institute For Women'S Development,-26.3140736,27.8309784
Gauteng,Shelter,24,North Rand,Beth Shan Shelter,-26.1789171,28.2499001
Gauteng,Shelter,24,Sizanani Village,Mercy House,-25.7732834,28.7666681
Gauteng,Shelter,24,North Rand,Mali Martin,-26.1789171,28.2499001
Gauteng,Shelter,24,North Rand,The Potter House,-26.1789171,28.2499001
Gauteng,Shelter,24,Pretoria West,Youth For Survival,-25.7496565,28.1561533
Gauteng,Shelter,24,"Pretoria, Atteridgeville",Re-Bafenyi Victim Empowerment,-25.7730891,28.0830047
Gauteng,Shelter,24,Sedibeng,Bella Maria,-26.6833196,28.2058768
Gauteng,Shelter,24,West Rand,Are Areng,-26.3213939,27.4556388
Gauteng,Shelter,24,West Rand,Polokego,-26.3213939,27.4556388
Gauteng,Shelter,24,Carltonville,Savf Deurgangshuis,-26.4011578,27.3851496
Gauteng,Shelter,24,Florida,Powa (West Rand),-26.1794173,27.9161125
Gauteng,Shelter,24,West Rand,Wawa Toekomsrus,-26.3213939,27.4556388
Kwazulu-Natal,Shelter,31,Dundee,Dundee Crisis Centre,-28.1649792,30.2343141
Kwazulu-Natal,Shelter,31,Durban,Kerr House,-29.8586804,31.0218404
Kwazulu-Natal,Shelter,31,Durban,Kenilworth Respite Centre,-29.8586804,31.0218404
Kwazulu-Natal,Shelter,31,Pietermaritzburg,Abrina Esther House,-29.6006068,30.3794118
Kwazulu-Natal,Shelter,31,Pietermaritzburg,The Haven,-29.6006068,30.3794118
Kwazulu-Natal,Shelter,31,Pinetown,Open Door Crisis Centre,-29.8345022,30.8384093
Kwazulu-Natal,Shelter,31,Pinetown,Ethembeni Crisis Centre,-29.8345022,30.8384093
Kwazulu-Natal,Shelter,31,Sundumbili,The House Of Hope And Recovery,-29.133038,31.3798921
Limpopo,Shelter,50,Polokwane,Ekuphumleni Restoration Home Thyrest,-23.8961708,29.4486263
Limpopo,Shelter,50,Polokwane,Khuseleka One Stop Centre (Government-Run Shelter),-23.8961708,29.4486263
Mpumalanga,Shelter,4,Badplass,Badplass Shelter,-25.9573638,30.5394232
