name,telephone,adress,gps,lattitude,longitude
 Adelaide Hospital,+27 46 684 0066,"Emkhondo Drive, Adelaide, Eastern Cape, 5760","-32.70715, 26.29524",-32.70715,26.29524
 African Dawn Foundation,+27 83 963 0461,"6746 Mbilane Crescent, Kwazakhele, Port Elizabeth, Eastern Cape, 6205","-33.95815, 25.60763",-33.95815,25.60763
 Afrikaanse Christelike Vroue Vereeniging - Cradock,+27 48 881 0069,"38 Hospital Street, Cradock, Eastern Cape, 5880","-32.16634, 25.62100",-32.16634,25.62100
 Afrikaanse Christelike Vroue Vereeniging - Despatch,+27 41 933 1792,"1 Nuwe Plein Street, Despatch, Eastern Cape, 6220","-33.80063, 25.45918",-33.80063,25.45918
 Afrikaanse Christelike Vroue Vereeniging - Middelburg,+27 49 842 1938,"2 Loop Street, Middelburg, Eastern Cape, 5900","-31.51171, 25.00962",-31.51171,25.00962
 Afrikaanse Christelike Vroue Vereeniging - Port Elizabeth North,+27 41 451 1365,"1 Barry Street, Sidwell, Port Elizabeth, Eastern Cape, 6001","-33.92208, 25.59352",-33.92208,25.59352
 Afrikaanse Christelike Vroue Vereeniging - Port Elizabeth South,+27 41 585 8702,"1 Hilton Crescent, Humewood, Port Elizabeth, Eastern Cape, 6001","-33.97988, 25.63287",-33.97988,25.63287
 Afrikaanse Christelike Vroue Vereeniging - Port Elizabeth West,+27 41 360 2106,"89A Avondale Road, Kabega Park, Port Elizabeth, Eastern Cape, 6025","-33.94828, 25.49278",-33.94828,25.49278
 Age-in-Action - Eastern Cape Provincial Office,+27 41 457 1466,"Corner of Springbok and Van Duuren Streets, Gelvandale, Port Elizabeth, Eastern Cape, 6020","-33.91793, 25.54925",-33.91793,25.54925
 Agnes Rest Clinic,+27 31 205 2749,"Between Keiskammahoek and Middeldrift, R352, Chris Hani, Emalahleni, Eastern Cape, 1039","-32.73175, 27.03133",-32.73175,27.03133
 Al Fidaa Foundation - The White Door Centre,+27 41 453 1222,"239 Durban Road, Korsten, Port Elizabeth, Eastern Cape, 6020","-33.92688, 25.57199",-33.92688,25.57199
 Algoa Park Clinic - Port Elizabeth,+27 41 452 2058,"Corner of St Leonard and Chudleigh Roads, Algoa Park, Port Elizabeth, Eastern Cape, 6001","-33.95612, 25.58935",-33.95612,25.58935
 All Saints Gateway Clinic,+27 47 548 4015,"Situated within All Saints Hospital Grounds, All Saints, Engcobo, Eastern Cape, 5052","-31.66148, 28.04826",-31.66148,28.04826
 Alphendale Clinic,+27 43 733 4496,"Close to Alphendale High School, Alphen Road, East London, Eastern Cape, 5201","-33.01255, 27.84386",-33.01255,27.84386
 Amabele Clinic,+27 43 782 9022,"Next to the N63, Amabele, King William's Town, Eastern Cape, 4931","-32.66337, 27.52389",-32.66337,27.52389
 Amahleke Clinic,+27 40 656 2481,"Near to the Sokudela Funeral Parlour, Dimbaza, Bisho, Eastern Cape, 5671","-32.84887, 27.44118",-32.84887,27.44118
 Amalinda Mobile Clinic,+27 43 705 2900,"Beaconfield Road, East London, Eastern Cape, 5201","-33.01500, 27.89829",-33.01500,27.89829
 Amandengane Clinic,+27 86 010 4037,"Between Flagstaff and Tanga, R61, Alfredo Nzo, Eastern Cape, 8051","-31.08611, 29.75053",-31.08611,29.75053
 Aspiranza Clinic,+27 43 733 2191,"Near to the Fire Department, Robert King Crescent, Buffalo Flats, East London, Eastern Cape, 5209","-33.01903, 27.84886",-33.01903,27.84886
 Back to the Foundation Ministries,+27 73 768 4989,"103 Main Road, Amalinda, East London, Eastern Cape, 5247","-32.99490, 27.87063",-32.99490,27.87063
 Baroda Clinic,+27 48 881 3419,"Baroda, Cradock, Eastern Cape, 5882","-32.00216, 25.51025",-32.00216,25.51025
 Bathurst Clinic,+27 42 230 0310,"Near to Purdonton Station, Off the R67, Nolukhanyo, Bathurst, Eastern Cape, 6166","-33.49373, 26.83122",-33.49373,26.83122
 Bay Medical Centre,+27 41 583 2121,"1 Eighth Avenue, Summerstrand, Port Elizabeth, Eastern Cape, 6001","-33.98857, 25.66446",-33.98857,25.66446
 Beacon Bay Clinic,+27 43 748 2400,"673 Beaconfield Road, East London, Eastern Cape, 5201","-33.01500, 27.89829",-33.01500,27.89829
 Beatrice Ngwentle Clinic,+27 42 243 3447,"Mayila Street, Somerset East, Eastern Cape, 5850","-32.72461, 25.59724",-32.72461,25.59724
 Bedford Hospital,+27 46 685 0043,"4 Maitland Street, Bedford, Eastern Cape, 5780","-32.67537, 26.08418",-32.67537,26.08418
 Bensonvale Clinic,+27 83 378 0669,"Next to Bensonvale Junior Secondary School, Bensonvale, Eastern Cape, 9764","-30.57701, 27.35445",-30.57701,27.35445
 Berlin Advice Centre,+27 43 685 2635,"7 Wilmans Street, Berlin, Eastern Cape, 5660","-26.31044, 28.38633",-26.31044,28.38633
 Berlin Clinic,+27 43 685 2359,"8 Legion Street, Berlin, Eastern Cape, 5660","-32.88377, 27.57911",-32.88377,27.57911
 Bethany Home,+27 47 535 7296,"Gerald Spilken Street, Ikwezi, Mthatha, Eastern Cape, 5100","-31.61547, 28.79947",-31.61547,28.79947
 Bhongweni Clinic,+27 42 247 1080,"599 Auriet Street, Cookhouse, Eastern Cape, 5820","-32.74493, 25.79826",-32.74493,25.79826
 Bisho Gateway Clinic,+27 40 635 0379,"Situated within Bisho Hospital Grounds, Komga Road, Bisho, Eastern Cape, 5605","-32.82770, 27.45510",-32.82770,27.45510
 Bisho Hospital,+27 40 635 2958,"Next to the Premier's Office, Komga Road, Bisho, Eastern Cape, 5605","-32.82774, 27.45516",-32.82774,27.45516
 Bityi Clinic,+27 71 854 3807,"Near to Bityi Police Station, Bityi, Mthatha, Eastern Cape, 5103","-31.79429, 28.52341",-31.79429,28.52341
 Booysens Park Clinic,+27 41 506 2700,"Corner of Auburn and Duncan Roads, Booysens Park, Port Elizabeth, Eastern Cape, 6059","-33.86165, 25.46074",-33.86165,25.46074
 Braelyn Clinic,+27 43 741 1321,"St Vesuvius Street, Braelyn, East London, Eastern Cape, 5201","-33.00021, 27.87894",-33.00021,27.87894
 Braelyn Extension 10 Clinic,+27 43 741 2080,"Guzana Street, Braelyn Extension 10, East London, Eastern Cape, 5201","-33.00374, 27.86065",-33.00374,27.86065
 Bridge Street Clinic,+27 49 836 0234,"Bridge Street, Jansenville, Eastern Cape, 6265","-32.94814, 24.66555",-32.94814,24.66555
 Bulembu Clinic,+27 40 659 7004,"King William's Town, Eastern Cape, 5601","-32.89486, 27.41306",-32.89486,27.41306
 Burgersdorp Clinic,+27 51 653 1926,"Close to Eureka Primary School, Angelier Street, Eureka, Burgersdorp, Eastern Cape, 9744","-31.00766, 26.31702",-31.00766,26.31702
 Burgersdorp Hospital,+27 51 653 1881,"Daantjie van den Heever Street, Burgersdorp, Eastern Cape, 9744","-30.99431, 26.31879",-30.99431,26.31879
 Burnshill Clinic,+27 40 657 8303,"Near to Burnshill Secondary School, Burnshill Location, Keiskammahoek, Eastern Cape, 5670","-32.76906, 27.05510",-32.76906,27.05510
 Butterworth Hospital,+27 47 491 4164,"Scanlen Street, Butterworth, Eastern Cape, 4960","-32.33232, 28.13877",-32.33232,28.13877
 Cala Hospital,+27 47 877 0069,"Druny Lane Street, Cala, Eastern Cape, 5455","-31.52236, 27.68274",-31.52236,27.68274
 Cambridge Clinic,+27 43 726 0142,"Corner of Dominion and Sprigg Streets, Cambridge, East London, Eastern Cape, 5247","-32.97756, 27.88964",-32.97756,27.88964
 Canzibe Hospital,+27 47 568 8111,"Ngodweni Location, Nqeleni, Eastern Cape, 5140","-31.80885, 29.06588",-31.80885,29.06588
 Caring Hands Home-Based Care,+27 51 654 0270,"33 Bingle Street, Venterstad, Eastern Cape, 9798","-30.77488, 25.79418",-30.77488,25.79418
 Catch Projects,+27 43 740 0625,"40 Gullsway Road, Gonubie, Eastern Cape, 5257","-32.87023, 27.41089",-32.87023,27.41089
 Cathcart Hospital,+27 45 843 1029,"Fleischer Street, Cathcart, Eastern Cape, 5310","-32.29026, 27.13691",-32.29026,27.13691
 Catholic Welfare and Development Centre - Mthatha,+27 47 531 1602,"16 Durham Street, Mthatha, Eastern Cape, 5100","-31.58720, 28.78565",-31.58720,28.78565
