name,telephone,adress,gps,lattitude,longitude
 Age-in-Action - Free State Provincial Office,+27 51 448 1868,"31 Park Road, Willows, Bloemfontein, Free State, 9301","-29.12046, 26.20863",-32.92419,27.42365
" Age-in-Action - Phuthaditjhaba, Free State",+27 58 713 0560,"Situated within Thekolohelong Welfare Centre, Moropotsane Street, Phuthaditjhaba, Free State, 9870","-28.53333, 28.81667",-32.92419,27.42365
 Ahang Sechaba Community Project,+27 78 775 8851,"Room 15, 4th Floor, Medex Building, 2301 Seutloadi Street, Welkom, Free State, 9459","-27.97207, 26.79142",-32.92419,27.42365
 Alliance Against HIV and AIDS,+27 51 432 9477,"1332 Dr Belcher Road, Bloemfontein, Free State, 9301","-29.14047, 26.24687",-32.92419,27.42365
 Anti TB- Virginia,+27 78 257 2272,"2333 Stilte Park, Meloving, Free State, 9439","-28.45411, 26.79679",-32.92419,27.42365
 Bambanani Sizwe,+27 73 400 5926,"Ward 5, 9732 Mjiba Street, Rocklands, Kagisanong, Free State, 9323","-29.16907, 26.23562",-32.92419,27.42365
 Batho Ba Lerato,+27 51 873 0087,"Botshelo Centre, Poloko Road, Thaba Nchu, Free State, 9780","-29.21490, 26.83994",-32.92419,27.42365
 Befrienders South Africa,+27 51 444 5691,"18 Klerck Avenue, Brandwag, Bloemfontein, Free State, 9301","-29.10236, 26.19903",-32.92419,27.42365
 Bethlehem Clinic,+27 58 303 8113,"29A Boshoff Street, Bethlehem, Free State, 9701","-28.23414, 28.30106",-32.92419,27.42365
 Bloemfontein Mobile 6 Clinic,+27 51 493 9741,"Situated within National District Hospital, Roth Avenue, Willows, Bloemfontein, Free State, 9301","-29.12626, 26.20460",-32.92419,27.42365
 Boitumelo Clinic - Free State,+27 58 481 4172,"Boitumelo Clinic, 3873 Jones Cone Street, Matwebeng, Senekal, Free State, 9600","-28.34360, 27.63130",-32.92419,27.42365
 Bokamoso,+27 76 055 4904,"Stand 234, Botshabelo Section C, Botshabelo, Bloemfontein, Free State, 9781","-27.92303, 26.67967",-32.92419,27.42365
 Bongani Hospital - Free State,+27 57 916 8000,"Mothusi Road, Welkom, Free State, 9459","-27.95245, 26.78731",-32.92419,27.42365
 Bophelo HIV and AIDS Project,+27 51 432 2441,"4456 Tsoai Street, Botshabelo, Bloemfontein, Free State, 9781","-29.14889, 26.23535",-32.92419,27.42365
 Bophelong Clinic - Odendaalsrus,+27 57 361 0078,"Kutlwanong Location, 2600 KF Road, Odendaalsrus, Free State, 9480","-27.85918, 26.77652",-32.92419,27.42365
 Bophelong Community Health Centre,+27 53 574 0471,"7 East Street, Petrusburg, Free State, 9932","-29.11589, 25.41848",-32.92419,27.42365
 Botho Centre,+27 72 753 5619,"Butay Location, 601 Masilo Street, Frankfort, Free State, 9830","-29.17584, 27.46461",-32.92419,27.42365
 Botshabelo Hospital,+27 51 533 0111,"Hospital Road, Botshabelo, Bloemfontein, Free State, 9781","-29.23252, 26.71572",-32.92419,27.42365
 Botshabelo Industrial Clinic,+27 51 533 0329,"123 Purple Street, Botshabelo, Bloemfontein, Free State, 9781","-29.23306, 26.73306",-32.92419,27.42365
 Child Welfare South Africa - Bethlehem Child and Family Centre,+27 58 303 0222,"28 Grey Street, Bethlehem, Free State, 9701","-28.22975, 28.30543",-32.92419,27.42365
 Child Welfare South Africa - Virginia,+27 57 212 6273,"1st Floor, Corner House, Park Crescent, Virginia, Free State, 9431","-28.10590, 26.86346",-32.92419,27.42365
 Child Welfare South Africa - Wepener,+27 51 583 1404,"227 Protea Street, Hoogte, Wepener, Free State, 9944","-29.72004, 27.00682",-32.92419,27.42365
 Childline - Free State,+27 51 430 3311,"54 Aliwal Street, Bloemfontein, Free State, 9301","-29.10941, 26.22049",-32.92419,27.42365
 Clicks Pharmacy - Bethlehem,+27 58 303 5656,"Shop 15, Metropolitan Life Centre, Corner of Malan and Miller Streets, Bakenpark, Bethlehem, Free State, 9701","-26.26188, 28.09626",-32.92419,27.42365
 Cornelia Victim Support Centre,+27 58 841 9000,"13 Lourens Street, Cornelia, Vrede, Free State, 9850","-27.23910, 28.85453",-32.92419,27.42365
 Department of Health - Bloemfontein,+27 51 408 1613,"Corner of Charles and Maitland Streets, Bloemfontein, Free State, 9301","-29.11535, 26.21866",-32.92419,27.42365
 Department of Health - Welkom District Office,+27 57 910 3200,"Opposite Medi-Clinic, Kopane District Office, Long Road, Welkom, Free State, 9459","-27.98553, 26.73506",-32.92419,27.42365
" Department of Justice and Constitutional Development, Office of the Family Advocate - Bloemfontein",+27 51 447 1115,"2nd Floor, Sanlam Building, 163A Nelson Mandela Drive, Bloemfontein, Free State, 9301","-29.10383, 26.18621",-32.92419,27.42365
 Dihlabeng Development Initiative,+27 58 304 4772,"House 2667A, Tsoella Street, Bohlokong, Theronville, Free State, 9701","-28.21617, 28.32187",-32.92419,27.42365
 Dr JS Moroka Hospital,+27 51 873 9907,"Station Road, Thaba Nchu, Free State, 9780","-29.19356, 26.84915",-32.92419,27.42365
 Dr ML Maile Development Centre,+27 56 515 7202,"562 Lediga Street, Khotsong, Bothaville, Free State, 9660","-27.38692, 26.64215",-32.92419,27.42365
 Fauna Clinic,+27 51 421 2971,"217 Springbok Road, Fauna, Bloemfontein, Free State, 9301","-29.17278, 26.18769",-32.92419,27.42365
 Fichardt Park Clinic,+27 51 522 5111,"8 Charlie Sutton Street, Fichardt Park, Bloemfontein, Free State, 9301","-29.14345, 26.18203",-32.92419,27.42365
 Free State Psychiatric Complex,+27 51 407 9911,"35 Nico van der Merwe Avenue, Bloemfontein, Free State, 9301","-29.13554, 26.21140",-32.92419,27.42365
 Free State Rainbow Seeds,+27 51 430 1023,"Office 110, Lazarus House, 44 West Burger Street, Bloemfontein, Free State, 9301","-29.11633, 26.22373",-32.92419,27.42365
 Geneva Clinic,+27 57 361 8125,"Stand 8940, Kutlwanong Location 9, Kutlwanong, Odendaalsrus, Free State, 9480","-27.85525, 26.75535",-32.92419,27.42365
