name,telephone,adress,gps,lattitude,longitude
 159 Jeppe Street Clinic,+27 11 336 0517,"Corner of Jeppe and Joubert Streets, Johannesburg, Gauteng, 2001","-26.22015, 28.02489",-32.92419,27.42365
 80 Albert Street Clinic,+27 11 334 6009,"80 Albert Street, Marshalltown, Johannesburg, Gauteng, 2001","-26.27094, 27.98252",-32.92419,27.42365
 Abba Adoptions,+27 12 342 6145,"310 Eastwood Street, Arcadia, Pretoria, Gauteng, 0083","-25.74734, 28.22246",-32.92419,27.42365
 Abraham Kriel Childcare,+27 11 839 3058,"Corner of Marais and Kamp Streets, Langlaagte, Johannesburg, Gauteng, 2092","-26.20679, 27.98949",-32.92419,27.42365
 Access Chapter 2,+27 12 430 3272,"1081 Pretorius Street, Hatfield, Pretoria, Gauteng, 0083","-25.74521, 28.23377",-32.92419,27.42365
 Acres of Love,+27 11 704 1423,"33 Chesham, 31 Royce Road, Bryanston, Johannesburg, Gauteng, 2191","-26.05885, 27.98297",-32.92419,27.42365
 Action AIDS,+27 11 731 4560,"Edura House, 41 Fox Street, Johannesburg, Gauteng, 2000","-26.20597, 28.04280",-32.92419,27.42365
 Active 4 Jesus,+27 82 339 7910,"150 Lys Street, Rietondale, Pretoria, Gauteng, 0084","-25.72914, 28.22132",-32.92419,27.42365
 Adelaide Tambo Clinic,+27 12 545 7909,"Fanie van Rensburg Street, Pyramid, Tshwane, Gauteng, 0120","-25.58373, 28.23292",-32.92419,27.42365
 Africa Coalition for Peace Action,+27 11 825 8706,"150 Pritchard Street, Johannesburg, Gauteng, 2001","-26.21209, 28.04432",-32.92419,27.42365
 African HIV and AIDS Control Network,+27 71 095 4068,"150 Pritchard Street, Argyle, Johannesburg, Gauteng, 2001","-26.20308, 28.04289",-32.92419,27.42365
 Afrika Tikkun,+27 11 325 5914,"1st Floor, Eastwood Building, 57 Sixth Road, Hyde Park, Gauteng, 2196","-26.12393, 28.03491",-32.92419,27.42365
 Age-in-Action - Gauteng Provincial Office,+27 11 354 0136,"Room 146, 1st Floor, Royal Place, Corner of Pritchard and Eloff Streets, Johannesburg, Gauteng, 2001","-26.20286, 28.04385",-32.92419,27.42365
" Age-in-Action - Katlehong, Gauteng",+27 11 860 2458,"Situated within the Family Skills Centre, 555 Moseu Street, Tsolo, Katlehong, Gauteng, 1431","-26.34135, 28.15342",-32.92419,27.42365
" Age-in-Action - Soshanguve, Gauteng",+27 12 797 3288,"NAFCOC Building, Highway, Soshanguve West, Soshanguve, Gauteng, 0152","-25.52740, 28.08800",-32.92419,27.42365
" Age-in-Action - West Rand, Gauteng",+27 72 206 3415,"c/o Age-in-Action, Gauteng Provincial Office, Room 146, 1st Floor, Royal Place, Corner of Pritchard and Eloff Streets, Johannesburg, Gauteng, 2001","-26.20292, 28.04380",-32.92419,27.42365
" Age-In-Action, Sebokeng Old Age Home - Vanderbijlpark",+27 16 594 8703,"Situated within Hands of Hope, Vesco Eco Nursery, Corner of Frikkie Meyer and Noble Boulevards, Vanderbijlpark, Gauteng, 1911","-26.66027, 27.84601",-32.92419,27.42365
 Aka Sosha,+27 72 755 9078,"8258, Soshanguve Extension 2, Soshanguve South, Gauteng, 0152","-25.57148, 28.05805",-32.92419,27.42365
 Alberton Methodist Care and Relief Enterprise,+27 11 869 5856,"15 Heidelberg Road, Newmarket Estates, Alberton, Gauteng, 1449","-26.28854, 28.13693",-32.92419,27.42365
 Alexandra East Bank Clinic,+27 11 882 0905,"Corner of Impala and Springbok Street, Alexandra, Johannesburg, Gauteng, 2090","-26.10677, 28.11024",-32.92419,27.42365
 Alexandra Health Care Centre and University Clinic,+27 11 440 1231,"33 Arkwright Avenue, Wynberg, Johannesburg, Gauteng, 2090","-26.11622, 28.09073",-32.92419,27.42365
 Alpha Trauma Centre,+27 16 422 0507,"23 Joubert Street, Vereeniging, Gauteng, 1939","-26.67563, 27.92697",-32.92419,27.42365
 Amato Pregnancy Crisis Centre,+27 12 342 3452,"787 Arcadia Street, Arcadia, Pretoria, Gauteng, 0007","-25.74873, 28.21945",-32.92419,27.42365
 Amcare,+27 11 907 4220,"15 Heidelberg Road, Newmarket, Alberton, Gauteng, 1449","-26.28081, 28.12643",-32.92419,27.42365
 Anglican Church of Southern Africa - Pretoria,+27 12 430 2345,"802 Pretorious Street, Arcadia, Pretoria, Gauteng, 8882","-25.74702, 28.20066",-32.92419,27.42365
" Anglican Church of Southern Africa, St Mary's Anglican Church, HIV and AIDS Office - Johannesburg",+27 11 333 2537,"Dara House, 13 Wanderers Street, Johannesburg, Gauteng, 2001","-26.19776, 28.04479",-32.92419,27.42365
 Association for the Physically Challenged - Johannesburg,+27 11 838 3012,"1 Western Boulevard Street, City West, Johannesburg, Gauteng, 2000","-26.18519, 28.09738",-32.92419,27.42365
 Atteridgeville Clinic,+27 12 373 0464,"Ramohoebo Square, Corner of Mareka and Mokobane Streets, Atteridgeville, Pretoria, Gauteng, 0008","-25.77070, 28.07519",-32.92419,27.42365
 Baby Moses Baby Sanctuary,+27 11 768 7600,"37 Dion Street, Helderkruin, Roodepoort, Gauteng, 1724","-26.10953, 27.89560",-32.92419,27.42365
 Bafokeng Care Centre,+27 16 583 1326,"1521 Lakeside, Evaton, Gauteng, 1984","-26.54211, 27.91321",-32.92419,27.42365
 Barcelona Clinic,+27 11 999 6991,"Stand 22286, Barcelona Extension 6, Daveyton, Gauteng, 1519","-26.10910, 28.45219",-32.92419,27.42365
 Barney Molokoane Clinic,+27 11 850 1287,"4424 Vulindlela Steet, Orange Farm, Gauteng, 1841","-26.49247, 27.87908",-32.92419,27.42365
 Barnswallows Baby Shelter,+27 11 475 2318,"839 Acanthus Street, Roodepoort, Gauteng, 1709","-26.13761, 27.91491",-32.92419,27.42365
 Bathusheng Care Centre,+27 72 274 6619,"163 Nineteenth Avenue, Alexandra, Johannesburg, Gauteng, 2090","-26.10816, 28.10717",-32.92419,27.42365
 Bedfordview Municipal Clinic,+27 11 999 0070,"3 Skeen Boulevard, Bedfordview, Johannesburg, Gauteng, 2007","-26.17468, 28.13353",-32.92419,27.42365
 Bekkersdal East Clinic,+27 11 755 1589,"3583 Panya-Panya Street, Bekkersdal, Westonaria, Gauteng, 1779","-26.28232, 27.70389",-32.92419,27.42365
 Bellavista Clinic,+27 11 433 1593,"Corner of Zietsman and Alex du Toit Streets, Bellavista South, Johannesburg, Gauteng, 2091","-26.25578, 28.02930",-32.92419,27.42365
 Berario Clinic,+27 11 476 5642,"Corner of Hoover Street and Dolores Avenue, Berario, Johannesburg, Gauteng, 2195","-26.13561, 27.95263",-32.92419,27.42365
 Berea Hillbrow Home of Hope,+27 11 614 0861,"59 Pandora Road, Kensington, Johannesburg, Gauteng, 2094","-26.19782, 28.11282",-32.92419,27.42365
 Bertha Gxowa Hospital,+27 11 089 8500,"Corner of Angus and Joubert Street, Germiston, Gauteng, 1401","-26.22987, 28.16637",-32.92419,27.42365
 Bethany Shelter,+27 11 614 3245,"58 Milborne Road, Doornfontein, Johannesburg, Gauteng, 2094","-26.19650, 28.05492",-32.92419,27.42365
 Bethesda House - Soweto,+27 11 527 1109,"64 Old Potch Road, Klipspruit, Pimville, Gauteng, 1809","-26.26624, 27.97430",-32.92419,27.42365
 Bethesda Ministries International,+27 83 441 8002,"13 Ceres Street, Naturena, Johannesburg, Gauteng, 2095","-26.51553, 27.87387",-32.92419,27.42365
 Beverly Hills Clinic,+27 16 582 0324,"1971 Hollywood Street, Evaton West, Mafatsana, Gauteng, 1984","-26.54004, 27.82224",-32.92419,27.42365
 Bezuidenhout Valley Clinic,+27 11 648 0617,"Corner of Fourth Street and Sixth Avenue, Bezuidenhout Valley, Johannesburg, Gauteng, 2094","-25.73984, 28.17472",-32.92419,27.42365
 Birchleigh Clinic,+27 11 999 4193,"Corner of Olienhout and Houtkapper Streets, Birchleigh, Kempton Park, Gauteng, 1618","-26.06981, 28.23024",-32.92419,27.42365
 Birchleigh North Clinic,+27 11 999 4471,"Coen Scholtz Community Centre, Moorefontein Road, Birchleigh North, Kempton Park, Gauteng, 1618","-26.04944, 28.23965",-32.92419,27.42365
 Block JJ Clinic,+27 12 713 2002,"Stand 972, Rimoningo Street, Soshanguve Block JJ, Soshanguve, Gauteng, 0152","-25.45702, 28.08001",-32.92419,27.42365
 Block TT Clinic,+27 12 791 8027,"Stand 625, Soshanguve Block TT, Soshanguve, Gauteng, 0152","-25.55914, 28.06996",-32.92419,27.42365
 Boekenhout Community Health Centre,+27 12 702 1495,"Stand 705-706, Mabopane Block A, Mabopane, Gauteng, 0190","-25.50551, 28.08410",-32.92419,27.42365
 Boikhutsong Clinic,+27 82 335 2792,"Stand 1266, Soshanguve Block T, Soshanguve, Gauteng, 0152","-26.34159, 27.30292",-32.92419,27.42365
 Boipatong Community Health Centre,+27 16 988 3487,"1990 Lekoa Street, Boipatong, Vanderbijlpark, Gauteng, 1911","-26.67093, 27.84825",-32.92419,27.42365
 Boitumelo Clinic,+27 16 989 7098,"2001 Mandala Drive, Boitumelo, Sebokeng, Gauteng, 1983","-26.56237, 27.82432",-32.92419,27.42365
 Boksburg North Clinic,+27 11 899 4421,"Cason Street, Boksburg North, Boksburg, Gauteng, 1459","-26.20877, 28.26242",-32.92419,27.42365
 Bonaero Park Clinic,+27 11 999 3507,"Corner of Aldergrove Lane and Louis Botha Road, Bonaero Park, Kempton Park, Gauteng, 1619","-26.12121, 28.25633",-32.92419,27.42365
 Bophelong Clinic - Bophelong,+27 16 986 2409,"632 Matthew Street, Bophelong, Vanderbijlpark, Gauteng, 1911","-26.68615, 27.78633",-32.92419,27.42365
 Bophelong Clinic - Saulsville,+27 12 375 5955,"66 Masupa Street, Saulsville, Pretoria, Gauteng, 0125","-26.28574, 27.70872",-32.92419,27.42365
