name,telephone,adress,gps,lattitude,longitude
 Acaciavale Clinic,+27 36 637 6833,"92 Centenary Road, Acaciavale, Ladysmith, KwaZulu-Natal, 3370","-28.58683, 29.79619",-32.92419,27.42365
 Adams Mission Clinic,+27 31 900 2144,"D995, Sheleni Road, Adams Mission, Amanzimtoti, KwaZulu-Natal, 4126","-30.01497, 30.81313",-32.92419,27.42365
 Addington Gateway Clinic,+27 31 327 2796,"16 Erskine Terrace, South Beach, Durban, KwaZulu-Natal, 4001","-29.86379, 31.04305",-32.92419,27.42365
 Addington Hospital,+27 31 327 2000,"16 Erskine Terrace, South Beach, Durban, KwaZulu-Natal, 4001","-29.86225, 31.04123",-32.92419,27.42365
 Addington Hospital - Department of Social Work,+27 31 327 2861,"16 Erskine Terrace, South Beach, Durban, KwaZulu-Natal, 4001","-29.86579, 31.04375",-32.92419,27.42365
 Addington Hospital - Poly Clinic,+27 31 327 2227,"16 Erskine Terrace, South Beach, Durban, KwaZulu-Natal, 4001","-29.86379, 31.04305",-32.92419,27.42365
 Advice Desk for the Abused,+27 31 262 9673,"PO Box 65227, Reservoir Hills, Durban, KwaZulu-Natal, 4090","-29.79366, 30.93600",-32.92419,27.42365
 AE Haviland Clinic,+27 36 354 1872,"Near to the Social Welfare Office, Bell Street, Weenen, Estcourt, KwaZulu-Natal, 3325","-28.85445, 30.09293",-32.92419,27.42365
 Africa Cares for Life,+27 31 903 2340,"10 Nelson Road, Amanzimtoti, Durban, KwaZulu-Natal, 4141","-30.04788, 30.88155",-32.92419,27.42365
" Age-in-Action - Eshowe, KwaZulu-Natal",+27 35 772 1033,"Suite 21B, 11 Mangosuthu Buthulezi Drive, Eshowe, KwaZulu-Natal, 3815","-28.88986, 31.47366",-32.92419,27.42365
 Age-in-Action - KwaZulu-Natal Provincial Office,+27 31 309 2012,"Flat 207, Wheeler House, 12 De Mazenod Road, Greyville, KwaZulu-Natal, 4001","-29.83798, 31.02169",-32.92419,27.42365
 AIDS Healthcare Foundation - Ithembalabantu Clinic,+27 31 906 0452,"162 Zwe Madlala Drive, Umlazi W Section, Umlazi, KwaZulu-Natal, 4066","-29.96101, 30.89672",-32.92419,27.42365
 AIDS Resource Centre - Murchison Hospital,+27 39 687 7311,"Main Building Road, Paddock, Port Shepstone, KwaZulu-Natal, 4240","-30.74811, 30.43041",-32.92419,27.42365
 Airport Medical Centre,+27 31 902 6220,"11 Jadwats Street, Isipingo Rail, Isipingo, KwaZulu-Natal, 4133","-29.98224, 30.92598",-32.92419,27.42365
 Altona Clinic,+27 34 413 1707,"Ground Floor, Ministerial Suite, King Dinuzulu Highway, Ulundi, KwaZulu-Natal, 3838","-27.39877, 31.26791",-32.92419,27.42365
 AM Moolla Special Nova School,+27 31 500 3801,"313 Lenham Drive, Lenham, Phoenix, KwaZulu-Natal, 4068","-29.69099, 30.99288",-32.92419,27.42365
 Amadiba Clinic,+27 39 305 2815,"Madiba Location, Banners Rest, Port Edward, KwaZulu-Natal, 4295","-31.07309, 30.17901",-32.92419,27.42365
 Amantimatolo Clinic,+27 33 445 9319,"Next to Matimatolo Police Station, Matimatolo, Greytown, KwaZulu-Natal, 3250","-29.06507, 30.57773",-32.92419,27.42365
 Amanzimtoti Clinic,+27 31 311 5601,"2 Ross Street, Adams Mission, Amanzimtoti, KwaZulu-Natal, 4100","-30.05438, 30.88075",-32.92419,27.42365
 Amanzimtoti Trauma Unit,+27 31 903 7777,"1 Queens Terrace, Doonside, Amanzimtoti, KwaZulu-Natal, 4126","-30.06938, 30.87373",-32.92419,27.42365
 Angel Liht,+27 61 088 7234,"House J1715, Mdoni Avenue, Umlazi J Section, Umlazi, Durban, KwaZulu-Natal, 4031","-29.95541, 30.86205",-32.92419,27.42365
" Anglican Church of Southern Africa, St Paul's Anglican Church - Durban",+27 31 305 4666,"161 Monty Naicker Road, Durban, KwaZulu-Natal, 4001","-29.85705, 31.02603",-32.92419,27.42365
 Appelsbosch Hospital,+27 32 294 8000,"R614 Wartburg Road, Ozwatini, Dalton, KwaZulu-Natal, 3242","-29.38985, 30.84270",-32.92419,27.42365
 Appelsbosch Mobile 1 Clinic,+27 32 294 8000,"R614 Wartburg Road, Ozwatini, Dalton, KwaZulu-Natal, 3242","-29.38985, 30.84270",-32.92419,27.42365
 Appelsbosch Mobile 2 Clinic,+27 32 294 8000,"R614 Wartburg Road, Ozwatini, Dalton, KwaZulu-Natal, 3242","-26.41282, 27.90024",-32.92419,27.42365
 Assisi Centre,+27 73 549 6070,"Next to Assisi Mission, St Faith's Road, Port Shepstone, KwaZulu-Natal, 4240","-30.74391, 30.45156",-32.92419,27.42365
 Assisi Clinic,+27 39 695 9476,"St Faith's Road, Port Shepstone, KwaZulu-Natal, 4240","-30.60645, 30.34957",-32.92419,27.42365
