name,telephone,adress,gps,lattitude,longitude
 A Mamabolo Clinic,+27 15 267 4835,"Next to Mankweng High School, Mongwane Village, Sovenga, Polokwane, Limpopo, 0727","-23.80583, 29.79961",-32.92419,27.42365
 A Re Rataneng Kamoka Community Drop-In Centre,+27 78 985 1947,"Stand 13384, Polokwane Extension 71B, Polokwane, Limpopo, 0699","-23.86972, 29.42536",-32.92419,27.42365
 A Re Thabeng Tshware Drop-In Centre,+27 76 542 4969,"Hot Bush Road, Ga-Mamabolo Village, Sovenga, Tshware, Polokwane, Limpopo, 0727","-23.86751, 29.79906",-32.92419,27.42365
 Abraham Kriel Kinderhuis - Nylstroom,+27 14 717 5264,"12 De Beer Street, Modimolle, Nylstroom, Limpopo, 0510","-24.70370, 28.40034",-32.92419,27.42365
 Age-in-Action - Limpopo Provincial Office,+27 15 291 1647,"Office 3, 43A Hoog Street, Polokwane, Limpopo, 0699","-23.90931, 29.46878",-32.92419,27.42365
 Ahititweleni Drop-In Centre,+27 71 004 8928,"193 Tututu Street, Nwamitwa, Tzaneen, Limpopo, 0871","-23.86068, 30.29813",-32.92419,27.42365
 Alldays Mobile Clinic,+27 15 575 1527,"Near to the Police Station, Alldays, Louis Trichardt, Limpopo, 0909","-22.35697, 30.03515",-32.92419,27.42365
 Ambergate Clinic,+27 15 228 0903,"Next to Mangwanallela High School, Ambergate, Polokwane, Limpopo, 0780","-23.51674, 28.93679",-32.92419,27.42365
 Anglican Church of Southern Africa - Polokwane,+27 15 297 2667,"82 Biccard Street, Polokwane, Limpopo, 0699","-23.89332, 29.45279",-32.92419,27.42365
 Armoed Clinic,+27 73 636 7786,"Next to Witvinger Nature Reserve, Ga-mashashane, Bakone, Limpopo, 0746","-23.95502, 28.98525",-32.92419,27.42365
 Bakenberg Home Community-Based Care,+27 78 261 0184,"Montoon Section, Bakenberg, Potgietersrus, Limpopo, 0611","-24.19606, 28.98948",-32.92419,27.42365
 Basani Clinic,+27 15 811 5913,"Next to Malenga High School, Mwamankene Village, Giyani, Limpopo, 0826","-23.30630, 30.71032",-32.92419,27.42365
 Bellevue Clinic,+27 15 310 6006,"Near to the Satellite Police Station, Bellevue Village, Maphalle, Molototsi, Limpopo, 0827","-23.46382, 30.30877",-32.92419,27.42365
 Bellevue Drop-In Centre,+27 79 671 6857,"Stand 950, Bellvue Village, Molototsi Block 12, Molototsi, Giyani, Limpopo, 0827","-23.31392, 30.69549",-32.92419,27.42365
 Benfarm Clinic,+27 15 769 6095,"Next to Phulanibyohola Primary School, Benfarm Village, Phalaborwa, Limpopo, 1389","-23.91614, 31.03731",-32.92419,27.42365
 Bismark Clinic,+27 15 383 9921,"Bismark Area, Limpopo, 0890","-24.20472, 30.50194",-32.92419,27.42365
 Block 14 Clinic,+27 15 266 0234,"Next to the Roman Catholic Church, Mankgaile Village, Sovenga, Polokwane, Limpopo, 0727","-23.86028, 29.41238",-32.92419,27.42365
 Blouberg Community Health Centre,+27 15 501 0505,"Near to John Molomme, Inveraan Village, Bochum, Limpopo, 0790","-23.13360, 28.99020",-32.92419,27.42365
 Bochabelo Clinic,+27 15 310 6010,"Bochabelo Village, Mooketsi Road, Giyani, Limpopo, 0826","-23.30630, 30.71032",-32.92419,27.42365
 Bokamoso Community Development and Health Centre,+27 72 501 9530,"Stand 023, Mandela Park, Meidingen Village, Ga-Kgapane, Limpopo, 0838","-24.70283, 28.41390",-32.92419,27.42365
 Bokwalakwala Clinic,+27 15 485 0435,"Near to the Tribal Office, Moshate Village, Mokopane, Limpopo, 0709","-24.14908, 28.95136",-32.92419,27.42365
 Bolobedu Clinic,+27 15 311 0072,"Queen Modjadji Herd Kraal, Modjadji, Limpopo, 0837","-23.62342, 30.34625",-32.92419,27.42365
 Bolobedu Victim Empowerment Centre,+27 15 328 7500,"Situated within Bolobedu Kgatale Post Office, Stand 618, Ga-Kgapane, Limpopo, 0838","-23.63945, 30.22043",-32.92419,27.42365
 Bophelo Home-Based Care,+27 73 476 3808,"Sape Village, Ga-Mogoboya, Lenyenye, Tzaneen, Limpopo, 0857","-23.98555, 30.18578",-32.92419,27.42365
 Bophelong Day-Care and Training Centre,+27 71 158 6490,"Stand 78A, Mogoto Village, Koringpunt, Polokwane, Limpopo, 0632","-24.18820, 29.00796",-32.92419,27.42365
 Botlokwa Hospital,+27 15 527 8030,"Near to Botlokwa Police Station, Matoks Village, Ramagopa Road, Dwars Rivier, Limpopo, 0812","-29.74500, 23.50300",-32.92419,27.42365
 Buffelshoek Clinic,+27 15 505 9009,"Next to Maleboho High School, Bochum, Limpopo, 0790","-23.28344, 29.12855",-32.92419,27.42365
 Burgersfort Clinic,+27 13 231 7843,"Burgersfort Street, Burgersfort, Limpopo, 1150","-24.66654, 30.33283",-32.92419,27.42365
 Bus Stop Clinic,+27 71 860 4815,"Next to Riaan's Shop, Phalaborwa, Limpopo, 1389","-23.95193, 31.13951",-32.92419,27.42365
 Byldrift Clinic,+27 15 662 0135,"Near to Baseloane Pre-School, Byldrift Village, Polokwane, Limpopo, 0604","-24.54583, 29.50369",-32.92419,27.42365
 Calais Clinic,+27 83 395 4723,"Near to Calais High School, Calais, Letsitele, Limpopo, 0890","-24.13012, 30.33375",-32.92419,27.42365
 Carlotta Clinic,+27 15 355 7919,"Next to Market Plaza, Burgersdorp, Tzaneen, Limpopo, 0873","-23.99800, 30.31733",-32.92419,27.42365
 Charlie Rhangaan Clinic,+27 15 310 6000,"Near to Tsogang Primary School, Garamodumo Village, Ga-Kgapane, Limpopo, 0838","-23.47710, 30.55219",-32.92419,27.42365
 Child Welfare South Africa - Limpopo Provincial Office,+27 15 291 1960,"Office 4, Amy Park Offices, 128 Marshall Street, Polokwane, Limpopo, 0699","-23.91675, 29.46095",-32.92419,27.42365
 Child Welfare South Africa - Polokwane,+27 15 297 3327,"42 Jorissen Street, Polokwane, Limpopo, 0699","-23.90650, 29.45451",-32.92419,27.42365
 Childline - Limpopo,+27 15 295 6449,"17 Hans van Rensburg Drive, Polokwane, Limpopo, 0699","-23.91690, 29.45602",-32.92419,27.42365
 Christelike-Maatskaplike Raad/Christian Social Council - Burgersdorp,+27 51 653 1722,"3 Coetzee Street, Burgersdorp, Tzaneen, Limpopo, 0850","-24.67013, 30.32723",-32.92419,27.42365
 Christian Social Council of Limpopo,+27 13 262 3185,"1 Church Street, Groblersdal, Limpopo, 0470","-25.16311, 29.39835",-32.92419,27.42365
 Chuene Clinic,+27 15 651 0000,"Thoganeng Village, Mogodumo, Polokwane, Limpopo, 0735","-24.19141, 29.48597",-32.92419,27.42365
 Cloud of God Church,+27 82 638 5629,"Stand 136, Mamitwa Village, Nwamitwa, Tzaneen, Limpopo, 0871","-23.82837, 30.17191",-32.92419,27.42365
 Community Responsive Programmes,+27 87 150 8294,"Next to CN Phatudi Hospital, 325 Seare Village, Bakgaba, Bamake, Limpopo, 0857","-24.01260, 30.25472",-32.92419,27.42365
 Dan Village Clinic,+27 15 303 0962,"Dan, Letaba, Limpopo, 0877","-23.90436, 30.27156",-32.92419,27.42365
 Davhana Clinic,+27 15 961 4173,"Ha-Davhana Village, Majosi, Giyani, Limpopo, 0933","-23.20973, 30.45625",-32.92419,27.42365
 De Hoop Clinic,+27 82 990 7130,"Near to De Hoop Primary School, De Hoop Village, Makhado, Limpopo, 0470","-23.18753, 30.27644",-32.92419,27.42365
 Dendron Clinic,+27 15 501 0059,"181 President Street, Dendron, Limpopo, 0715","-23.36725, 29.32750",-32.92419,27.42365
 Dendron Mobile Clinic,+27 15 501 0059,"181 President Street, Dendron, Limpopo, 0715","-23.36725, 29.32750",-32.92419,27.42365
" Department of Justice and Constitutional Development, Office of the Family Advocate - Polokwane",+27 15 291 1730,"Wyndom Park Building, 23 Rabie Street, Polokwane, Limpopo, 0699","-23.91533, 29.45670",-32.92419,27.42365
 Department of Social Development - Limpopo,+27 15 293 6027,"18 College Avenue, Polokwane, Limpopo, 0699","-23.89174, 29.46193",-32.92419,27.42365
 Devrede Clinic,+27 15 505 9027,"Next to Selelo Primary School, Devrede Village, Babirwa, Polokwane, Limpopo, 0716","-22.91736, 29.02086",-32.92419,27.42365
 Diana Clinic,+27 15 224 9902,"Next to Joel Sibasa High School, Diana Village, Ga-Mashashane, Bakone, Limpopo, 0746","-23.94396, 29.12021",-32.92419,27.42365
 Dikgale Clinic,+27 15 267 4833,"Next to Ranti High School, Makalanyane Village, Dikgale, Polokwane, Limpopo, 0721","-23.72064, 29.78536",-32.92419,27.42365
 Dilokong Hospital,+27 13 214 7265,"Next to Modikwa Mine, R37, Driekop, Limpopo, 1129","-24.59891, 30.15027",-32.92419,27.42365
 Dira-O Direlwe Modimolle Home-Based Care,+27 73 084 0512,"Phagameng Clinic, Modimolle, Nylstroom, Limpopo, 0510","-24.69648, 28.40207",-32.92419,27.42365
 Dr CN Phatudi Hospital,+27 15 355 8000,"Lenyenye Location, Tzaneen, Limpopo, 0858","-24.02655, 30.28098",-32.92419,27.42365
 Dr Hugo Nkabinde Clinic,+27 15 312 7900,"Near to Sevenqwana High School, Mazele Village, Tzaneen, Limpopo, 0850","-23.82837, 30.17191",-32.92419,27.42365
 Dr Machupe Community Health Centre,+27 15 642 3344,"Old Groothoek Hospital Building, Lebowakgomo, Polokwane, Limpopo, 0737","-24.31258, 29.33500",-32.92419,27.42365
 Dr Machupe Mobile 1 Clinic,+27 15 633 7836,"Studio 2, Lebowakgomo Hospital, Lebowakgomo, Polokwane, Limpopo, 0737","-23.86972, 29.42536",-32.92419,27.42365
 Dr Machupe Mobile 2 Clinic,+27 15 633 7836,"Studio 2, Lebowakgomo Hospital, Lebowakgomo, Polokwane, Limpopo, 0737","-23.86972, 29.42536",-32.92419,27.42365
 Dr Machupe Mobile 3 Clinic,+27 15 633 7836,"Studio 2, Lebowakgomo Hospital, Lebowakgomo, Polokwane, Limpopo, 0737","-23.86972, 29.42536",-32.92419,27.42365
 Dr Machupe Mobile 4 Clinic,+27 15 633 7836,"Studio 2, Lebowakgomo Hospital, Lebowakgomo, Polokwane, Limpopo, 0737","-23.86972, 29.42536",-32.92419,27.42365
 Dr Machupe Mobile 5 Clinic,+27 15 633 7836,"Studio 2, Lebowakgomo Hospital, Lebowakgomo, Polokwane, Limpopo, 0737","-23.86972, 29.42536",-32.92419,27.42365
 Dr Machupe Mobile 6 Clinic,+27 15 633 7836,"Studio 2, Lebowakgomo Hospital, Lebowakgomo, Polokwane, Limpopo, 0737","-23.86972, 29.42536",-32.92419,27.42365
 Dr Machupe Mobile 8 Clinic,+27 15 633 7836,"Studio 2, Lebowakgomo Hospital, Lebowakgomo, Polokwane, Limpopo, 0737","-23.86972, 29.42536",-32.92419,27.42365
 Dr Machupe Mobile 9 Clinic,+27 15 633 7836,"Studio 2, Lebowakgomo Hospital, Lebowakgomo, Polokwane, Limpopo, 0737","-23.86972, 29.42536",-32.92419,27.42365
 Duiwelskloof Gateway Clinic,+27 15 309 9074,"Near to the Taxi Rank, Duiwelskloof, Limpopo, 0838","-23.69746, 30.14120",-32.92419,27.42365
 Duvhuledza Clinic,+27 15 978 3730,"Next to Duvhuledza Primary School, Duvhuledza Village, Giyani, Limpopo, 0987","-22.75667, 30.78767",-32.92419,27.42365
 Dzumeri Health Centre,+27 15 812 7102,"Ndhambi Village, Main Road, Giyani, Limpopo, 0826","-23.31255, 30.70124",-32.92419,27.42365
 Dzwerani Clinic,+27 15 965 2983,"Dzwerani Village, Lwamondo, Giyani, Limpopo, 0985","-23.05683, 30.42333",-32.92419,27.42365
 Eensaam Clinic,+27 13 264 7900,"Next to Musterlook Motoring, Thokowane, Nebo, Limpopo, 1059","-24.95333, 29.88600",-32.92419,27.42365
 Eerste Geluk Clinic,+27 13 237 0018,"Stand 735, Eerste Geluk Township, Steelpoort, Limpopo, 1133","-23.95224, 30.62002",-32.92419,27.42365
 Eisleben Clinic,+27 15 526 7903,"Next to Itiedeng Primary School, Eisleben Village, Eisleben, Limpopo, 0818","-23.89411, 29.41283",-32.92419,27.42365
 Elim Hospital,+27 15 556 3201,"Close to Elim Mall, RMS Mahanges Kraal, Makhado, Limpopo, 0920","-23.15893, 30.06366",-32.92419,27.42365
 Enable Area Development,+27 15 383 0118,"Next to the Roman Catholic Church, Sekohoho Area, Moetladimo, Trichardtsdal, Limpopo, 0891","-23.88328, 30.39229",-32.92419,27.42365
 Evelyn Lekganyane Clinic,+27 15 266 0095,"Next to the Post Office, R71 Road, Boyne, Polokwane, Limpopo, 0728","-23.94722, 29.79861",-32.92419,27.42365
 Evuxakeni Hospital,+27 15 812 1138,"Plot 2177, Section A, Giyani, Limpopo, 0826","-23.31392, 30.69549",-32.92419,27.42365
 Folovhodwe Clinic,+27 71 861 9829,"Next to Folovhodwe Primary School, Folovhodwe, Sibasa, Limpopo, 0907","-22.58815, 30.42727",-32.92419,27.42365
 Fondwe Clinic,+27 15 973 8089,"Next to the High School, Fondwe, Sibasa, Limpopo, 0969","-22.94352, 30.47162",-32.92419,27.42365
 George Masebe Hospital,+27 15 423 6000,"Suswe, Potgietersrus, Limpopo, 0612","-23.87591, 28.69474",-32.92419,27.42365
 Giyani Health Centre,+27 15 812 0341,"Next to the Police Barracks, Giyani, Limpopo, 0826","-23.31392, 30.69549",-32.92419,27.42365
 Goedgedacht Clinic,+27 71 860 1545,"Stand 23, Sehlakwane Road, Dindela, Rusloo, Limpopo, 1475","-28.01460, 30.73280",-32.92419,27.42365
 Grace Mugodeni Youth Centre,+27 15 312 7910,"Mugodeni Grace Health Centre, Musipane Village, Nwamitwa, Tzaneen, Limpopo, 0871","-23.80486, 30.16067",-32.92419,27.42365
 Groblersdal Hospital,+27 13 262 3024,"18 Voortrekker Street, On the N11, Groblersdal, Limpopo, 0470","-25.17648, 29.40372",-32.92419,27.42365
 Guyuni Clinic,+27 82 990 7135,"Next to the Primary School, Guyuni Location, Hamakuya, Sibasa, Limpopo, 0956","-22.72694, 30.47694",-32.92419,27.42365
 Helene Franz Gateway Clinic,+27 15 505 0750,"Helene Franz Hospital, Bochum Road, Bochum, Limpopo, 0709","-23.28185, 29.10823",-32.92419,27.42365
 Helene Franz Hospital,+27 15 505 0750,"Bochum Road, Bochum, Limpopo, 0709","-23.28381, 29.11313",-32.92419,27.42365
 Hermon Apostolic Church,+27 11 820 4634,"Xihoko Village, Tzaneen, Limpopo, 0872","-23.82837, 30.17191",-32.92419,27.42365
 Hi Hlurile Health Care Organisation,+27 71 880 6958,"Matsotsosela Primary School, Giyani Village, Giyani, Limpopo, 0826","-23.31392, 30.69549",-32.92419,27.42365
 Hitekani Drop-In Centre,+27 72 488 6375,"Stand 210, Letsitele, Limpopo, 0885","-23.88672, 30.39112",-32.92419,27.42365
 Hlaneki Home-Based Care,+27 84 879 7955,"Next to Hlaneki Clinic, Hlaneki Village, Giyani, Limpopo, 0826","-23.31392, 30.69549",-32.92419,27.42365
 Hlokomela,+27 82 560 0248,"Uni-frutti, Richgate Farm, Blyde River, Hoedspruit, Limpopo, 1380","-24.34937, 30.95255",-32.92419,27.42365
 Hlokomela - Hoedspruit Training Trust,+27 83 300 2933,"Unifruitti Richgate Farm, Blyde River, Hoedspruit, Limpopo, 1380","-24.25472, 30.82972",-32.92419,27.42365
 Hlulani Home-Based Care - Limpopo,+27 73 527 0388,"Genyeza Tribal Office, Genyeza Village, Nwamanungu, Giyani, Limpopo, 0932","-23.31392, 30.69549",-32.92419,27.42365
 Hoedspruit Clinic,+27 82 874 2134,"Behind the Police Station, Impala Street, Hoedspruit, Limpopo, 1380","-24.35522, 30.95162",-32.92419,27.42365
 Holani Home-Based Care,+27 76 011 6989,"Next to Pfunani Primary School, Giyani Village, Giyani, Limpopo, 0826","-23.31392, 30.69549",-32.92419,27.42365
 Home of Faith Centre,+27 73 615 9511,"House 2561, Seshego Zone 5H, Seshego, Limpopo, 0742","-23.84927, 29.38563",-32.92419,27.42365
 Home Tekna - Place of Safety and Children's Home,+27 14 736 3153,"47 Reitz Street, Bela-Bela, Limpopo, 0480","-24.88004, 28.28974",-32.92419,27.42365
 Homu Block 15 Drop-In Centre,+27 73 181 7261,"Next to Hatshama Primary School, Makosha, Hatshama Village, Gazankulu, Giyani, Limpopo, 0826","-23.31392, 30.69549",-32.92419,27.42365
 Hope Wellness Clinic,+27 15 287 5092,"Situated within Polokwane Hospital, Corner of Hospital and Dorp Streets, Polokwane, Limpopo, 0699","-23.90338, 29.45853",-32.92419,27.42365
 Humalini Clinic,+27 15 769 6799,"Next to Chuckekani Primary School, Phalaborwa, Limpopo, 1389","-23.95193, 31.13951",-32.92419,27.42365
 Ikageng Drop-In Centre,+27 15 223 1942,"443 Bookelo Street, Seshego, Limpopo, 0742","-23.84927, 29.38563",-32.92419,27.42365
 Ikageng Multi-Purpose Centre,+27 73 846 3379,"Stand 125, Staanplaas Village, Mphahlele, Polokwane, Limpopo, 0736","-23.92781, 29.45121",-32.92419,27.42365
 Indermark Clinic,+27 15 593 7900,"Indermark, Polokwane, Limpopo, 0717","-23.86972, 29.42536",-32.92419,27.42365
 Itukisetseng Home-Based Care,+27 82 304 4837,"Stand 181, Rakgwatha Village, Groothoek Hospital, Limpopo, 0628","-24.94331, 27.15268",-32.92419,27.42365
 Jamela Clinic,+27 15 345 1437,"Next to Keizer Bar Lodge and Restaurant, Masarana Village, Tzaneen, Limpopo, 0885","-23.80486, 30.16067",-32.92419,27.42365
 Jane Furse Hospital,+27 13 265 9400,"Opposite the Library, Kgoshisekoati Site, Jane Furse, Burgersfort, Limpopo, 1085","-24.76033, 29.87711",-32.92419,27.42365
 Jehovah Raphah Ministries,+27 72 270 5501,"Stand 710, Sebayeng, Polokwane, Limpopo, 0752","-23.86314, 29.43131",-32.92419,27.42365
 Julesburg Community Health Centre,+27 15 383 9989,"Next to Bumela High School, Rhulani Village, Tzaneen, Limpopo, 0885","-24.06953, 30.32853",-32.92419,27.42365
 Kganya Mobile 1 Clinic,+27 71 113 8571,"Mankweng Hospital, Mankweng, Polokwane, Limpopo, 0727","-23.86314, 29.43131",-32.92419,27.42365
 Kganya Mobile 2 Clinic,+27 15 286 1187,"Mankweng Hospital, Mankweng, Polokwane, Limpopo, 0727","-23.88648, 29.72771",-32.92419,27.42365
 Kgapane Clinic,+27 15 328 7100,"Next to Msweli Primary School, Ga-Kgapane, Limpopo, 0838","-23.64012, 30.21127",-32.92419,27.42365
 Kgapane Hospital,+27 15 328 7800,"Main Road, Ga-Kgapane, Limpopo, 0838","-23.64931, 30.21707",-32.92419,27.42365
 Khakhala Clinic,+27 15 811 5904,"Next to Mehawu High School, Giyani, Limpopo, 0826","-23.31392, 30.69549",-32.92419,27.42365
 Kheyi Clinic,+27 71 861 9890,"Near to the Bottle Store, Kheyi Village, Giyani, Limpopo, 0826","-23.30630, 30.71032",-32.92419,27.42365
 Kheyi Drop-In Centre,+27 82 318 8943,"Stand 465, Kheyi Village, Giyani, Limpopo, 0826","-23.31392, 30.69549",-32.92419,27.42365
 Khomanani Disabled Project,+27 15 783 0140,"Stand 3/479, Lulekani, Phalaborwa, Limpopo, 1392","-23.95193, 31.13951",-32.92419,27.42365
 Khujwana Clinic,+27 15 303 3717,"Near to Matimu High School, Khujwana Village, Tzaneen, Limpopo, 0850","-23.93017, 30.23950",-32.92419,27.42365
 Khumbhekani Victim Empowerment,+27 15 783 5008,"1655 Chris Hani Street, Lulekani, Phalaborwa, Limpopo, 1392","-24.69092, 28.44769",-32.92419,27.42365
 Kibi Clinic,+27 15 592 0002,"Next to the Tribal Office, Gideon Village, Limpopo, 0718","-22.83644, 28.84697",-32.92419,27.42365
 Kopanang Drop-In Centre and Youth Club,+27 82 475 0881,"Next to Gompies Post Office, Magatle Village, Gompies, Limpopo, 0631","-24.45160, 29.40419",-32.92419,27.42365
 Krantzplaas Clinic,+27 15 228 0904,"Mosehleng Village, Alldays, Louis Trichardt, Limpopo, 0909","-23.48622, 28.91639",-32.92419,27.42365
 Kromhoek Clinic,+27 15 505 9014,"34 Hans van Rensburg Street, Polokwane, Limpopo, 0699","-23.90618, 29.45389",-32.92419,27.42365
 Kurisanani - Diocese of Tzaneen HIV and AIDS Programme,+27 15 307 6363,"31 Draai Road, Tzaneen, Limpopo, 0850","-23.82893, 30.15688",-32.92419,27.42365
 Kutama Clinic,+27 15 571 5276,"Near to the Secondary School, Tshikwarani Village, Makhado, Limpopo, 0920","-23.05854, 29.62239",-32.92419,27.42365
 Laastehoop Clinic,+27 15 618 2905,"Laastehoup Village, Ga-Molepo, Polokwane, Limpopo, 0700","-23.98467, 29.64542",-32.92419,27.42365
 Lamulani Community-Based Organisation,+27 78 506 8717,"Near to Greater Tzaneen Municipal Offices, Mokgwati, Tzaneen, Limpopo, 0861","-23.85938, 30.15960",-32.92419,27.42365
 Lebaka Clinic,+27 15 310 6012,"Next to Lebaka Primary School, Mohlabaneng, Ga-Kgapane, Limpopo, 0838","-23.46333, 30.36733",-32.92419,27.42365
 Lebowakgomo Clinic,+27 15 632 5166,"Next to the Department of Public Works, Manaolo Road, Bolopa, Limpopo, 0736","-24.31367, 29.56050",-32.92419,27.42365
 Lebowakgomo Hospital,+27 15 632 6900,"Lebowakgomo, Polokwane, Limpopo, 0737","-24.29550, 29.52850",-32.92419,27.42365
 Ledwaba Clinic,+27 15 633 4293,"Next to Ndlovu Primary School, Ledwaba Village, Limpopo, 0700","-24.27244, 29.42183",-32.92419,27.42365
 Leniman Teen Village Organisation,+27 82 782 2041,"1426 Khomanani Street, Nkowankowa, Letaba, Limpopo, 0870","-24.15055, 29.00039",-32.92419,27.42365
 Lenyenye Clinic,+27 15 355 3107,"1481 Clinic Street, Lenyenye Location, Tzaneen, Limpopo, 0857","-23.97406, 30.26714",-32.92419,27.42365
 Lepelle Health and Social Consortium,+27 82 642 9427,"Maruleng Municipality, Mabins Village, Gamametja, Trichardtsdal, Limpopo, 0890","-23.89214, 30.38653",-32.92419,27.42365
 Lephalale Medi-Clinic,+27 14 762 0400,"Corner of Douwater and Joe Slovo Streets, Onverwacht, Lephalale, Limpopo, 0557","-23.69006, 27.69693",-32.92419,27.42365
 Lephephane Clinic,+27 82 990 7133,"Near to Sony Supermarket, Lephephane Location, Mohlahlareng, Tzaneen, Limpopo, 0850","-23.80486, 30.16067",-32.92419,27.42365
 Lesedi Victim Empowerment Programme,+27 76 650 3613,"Next to Matawani Primary School, Ga-Sekororo Village, Moshate, Trichardtsdal, Limpopo, 0890","-23.88328, 30.39229",-32.92419,27.42365
 Lesfontein Clinic,+27 15 592 9921,"Rakavang Community Hall, Sekhung Area, Polokwane, Limpopo, 0794","-23.14932, 28.78547",-32.92419,27.42365
 Letaba Gateway Clinic,+27 15 303 1711,"Next to Mparampara Road, Lyndenburg Street, Tzaneen, Limpopo, 0870","-23.87400, 30.26900",-32.92419,27.42365
 Letaba Hospital,+27 15 303 8200,"Next to Minute Maid Farm, Lynberg Road, Letaba, Limpopo, 0870","-23.87348, 30.26819",-32.92419,27.42365
 Letsitele Clinic,+27 15 307 9605,"Vorster Street, Letsitele, Limpopo, 0885","-23.88848, 30.38343",-32.92419,27.42365
 Lifeline - Limpopo,+27 15 297 0297,"82 Hans van Rensberg, Polokwane, Limpopo, 0700","-23.90618, 29.45389",-32.92419,27.42365
 Limpopo LGBTI,+27 15 296 1583,"29 Munnik Avenue, Bendor, Polokowane, Limpopo, 0699","-23.90043, 29.47843",-32.92419,27.42365
