name,telephone,adress,gps,lattitude,longitude
 Acts Revival Ministries,+27 82 445 5081,"Ward 18, 5 Hlazekisa Main Road, Hluvukani, Mpumalanga, 1363","-25.08880, 30.77859",-32.92419,27.42365
 Age-in-Action - Mpumalanga Provincial Office,+27 13 243 1186,"25 Bhimy Damane Street, Middelburg, Mpumalanga, 2001","-25.76571, 29.46272",-32.92419,27.42365
" Age-in-Action - Shongwe Mission, Mpumalanga",+27 82 218 0520,"Office 10001, Matsomo Lake Trust Building, Middelplaas, Shongwe Mission, Mpumalanga, 1331","-25.68583, 31.49417",-32.92419,27.42365
" Age-in-Action - Siyabuswa, Mpumalanga",+27 13 973 1875,"Stand 1879, Maqhawe Street, Siyabuswa, Mpumalanga, 0472","-25.11777, 29.06124",-32.92419,27.42365
 Agincourt Community Health Centre,+27 13 708 7940,"Stand 1257, Thulamahashe, Acornhoek, Mpumalanga, 1365","-24.81994, 31.26092",-32.92419,27.42365
 Allemansdrift B Clinic,+27 13 977 8100,"Next to Mbongo Primary School, Allemansdrift Village, 327 Mbongo Street, Mbibane, Mpumalanga, 0449","-25.14146, 28.86459",-32.92419,27.42365
 Altmed Clinic,+27 13 752 2299,"30 Van Rensburg Street, Nel Acres, Nelspruit, Mpumalanga, 1200","-25.47738, 30.97406",-32.92419,27.42365
 Amajuba District Hospital,+27 17 735 2227,"East Street, Volksrust, Mpumalanga, 2470","-27.35132, 29.89081",-32.92419,27.42365
 Amazing Grace Children's Centre,+27 13 790 0221,"Station House, 1 Factory Street, Malelane, Mpumalanga, 1320","-25.49226, 31.50605",-32.92419,27.42365
 Amersfoort Clinic,+27 17 753 1027,"55 Bree Street, Amersfoort, Mpumalanga, 2490","-27.00538, 29.87292",-32.92419,27.42365
 Amsterdam Community Health Centre,+27 17 846 9959,"Corner of Fox and President Streets, Amsterdam, Mpumalanga, 2375","-26.62310, 30.66190",-32.92419,27.42365
 Arthurseat Clinic,+27 13 795 0739,"Arthurseat Village, R40, Acornhoek, Nelspruit, Mpumalanga, 1360","-24.60506, 31.07818",-32.92419,27.42365
 Arthurstone Clinic,+27 13 797 4901,"Next to Buck Valley Market, Buyisonto Village, Bushbuckridge, Mpumalanga, 1280","-24.78544, 31.13503",-32.92419,27.42365
 Asisukumeni Youth Service,+27 71 259 9438,"276 Sechaba Drive, Nthoroane Location, Greylingstad, Mpumalanga, 2415","-26.74273, 28.75418",-32.92419,27.42365
 Assemblies of God,+27 17 685 5015,"2050 Mazibuko Street, Embalenhle, Evander, Mpumalanga, 2285","-26.54075, 29.06722",-32.92419,27.42365
 Balfour Clinic,+27 17 773 0915,"99 Van Riebeeck Street, Balfour, Mpumalanga, 2410","-26.64875, 28.58821",-32.92419,27.42365
 Baphikeleli Care-Givers,+27 72 732 3562,"Ward 19, Stand 140, Steynsdorp, Elukwatini, Belfast, Mpumalanga, 1192","-25.69732, 30.02788",-32.92419,27.42365
 Barberton Clinic,+27 13 712 8875,"33 General Street, Asiatic Extension, Barberton, Mpumalanga, 1300","-25.78938, 31.05150",-32.92419,27.42365
 Barberton Hospital,+27 13 712 3011,"1 Hospital Street, Barberton, Mpumalanga, 1300","-25.78247, 31.04499",-32.92419,27.42365
 Barberton TB Hospital,+27 13 712 3176,"1 Aerodrome Road, Barberton, Mpumalanga, 1300","-25.78225, 31.04575",-32.92419,27.42365
 Bavumile Home Community-Based Care Organisation,+27 72 452 5512,"Ward 24, Stand 458, Elukwatini, Belfast, Mpumalanga, 1192","-25.69732, 30.02788",-32.92419,27.42365
 Beatty Clinic,+27 13 690 2201,"Corner of Justice Street and Beatty Avenue, eMalahleni, Mpumalanga, 1034","-25.87824, 29.21452",-32.92419,27.42365
 Belfast Clinic,+27 13 708 7934,"Stand 500, Mkhuhlu, Hazyview, Mpumalanga, 1246","-25.04947, 31.12898",-32.92419,27.42365
 Belfast Clinic -  Bushbuckridge,+27 13 253 0633,"A Grove Hospital, 1 Bhekumahlungu Street, Tzaneen, Mpumalanga, 1100","-24.95775, 31.36725",-32.92419,27.42365
 Bernice Samuel District Hospital,+27 13 665 8200,"2 Hospital Street, Delmas, eMalahleni, Mpumalanga, 2210","-26.15213, 28.66699",-32.92419,27.42365
 Bethal Hospital,+27 17 647 6341,"10 Wicht Street, Bethal, Mpumalanga, 2309","-26.45778, 29.47961",-32.92419,27.42365
 Bethal Town Clinic,+27 17 647 1025,"Municipality Building, Chris Hani Street, Bethal, Mpumalanga, 2309","-26.45700, 29.46560",-32.92419,27.42365
 Bettysgoed Clinic,+27 17 887 0148,"Near to KwaDuma Primary School, Elukwatini, Mpumalanga, 1192","-26.25290, 30.92180",-32.92419,27.42365
 Bhubezi Clinic,+27 82 655 3382,"Lillydale Main Road, Lillydale, Ximhungwe, Mpumalanga, 1281","-25.04685, 31.12918",-32.92419,27.42365
 Bhuga Community Health Centre,+27 13 796 9101,"Near to the Matstrans Bus Terminal, Stand 29, Gutshwa, Kabokweni, Mpumalanga, 1245","-25.33653, 31.14493",-32.92419,27.42365
 Bloedfontein Clinic,+27 13 975 7436,"Near to Mohlaseng Pre-School, Sleutelfontein, Marble Hall, Mpumalanga, 0465","-24.97238, 29.29550",-32.92419,27.42365
 Bohlabela Resource and Advice Centre,+27 13 799 1841,"Ward 8, Office 30, Maviljan Building, Bushbuckridge, Mpumalanga, 1280","-26.74476, 28.76354",-32.92419,27.42365
 Boiketlo Health Care,+27 82 691 8127,"Ward 15, Stand 389, Digwale A, Mbibane, Marble Hall, Mpumalanga, 0449","-24.96979, 29.29495",-32.92419,27.42365
 Boitumelo Home-Based Care,+27 73 355 5947,"Next to Putco Bus Depot, Ward 18, Stand 837-838, Allemansdrift C, Greylingstad, Mpumalanga, 2415","-26.75126, 28.75853",-32.92419,27.42365
 Bokamoso Home-Based Care - Mpumalanga,+27 76 021 3905,"Ward 17, Room 200911, Old Public Works Building, Mbibane, Marble Hall, Mpumalanga, 0449","-24.96979, 29.29495",-32.92419,27.42365
 Bongani Hospital,+27 13 737 7217,"Numbi Road, Hazyview, Mpumalanga, 1242","-25.05003, 31.13084",-32.92419,27.42365
 Boschfontein Clinic,+27 13 785 0005,"Next to Bambiso High School, Inkomazi West, Shongwe Mission, Nelspruit, Mpumalanga, 1331","-25.74440, 31.61980",-32.92419,27.42365
 Boulders Clinic,+27 13 712 3355,"Close to the Police Station, Kaapmuiden, Nelspruit, Mpumalanga, 1295","-25.55336, 31.30712",-32.92419,27.42365
 Bourke's Luck Clinic,+27 13 761 6904,"Stand 1, Bourke's Luck Road, Bourke's Luck, Graskop, Mpumalanga, 1270","-24.93288, 30.84134",-32.92419,27.42365
 Breyten Clinic,+27 17 861 3913,"Breytenbach Street, Breyten, Ermelo, Mpumalanga, 2330","-26.30235, 29.98811",-32.92419,27.42365
 Brondal Clinic,+27 13 759 7902,"Next to NS Mabele Primary School, Barvale, Nelspruit, Mpumalanga, 1202","-25.48177, 30.98152",-32.92419,27.42365
 Brooklyn Clinic,+27 13 795 0519,"Next to Maotoli Primary School, Brooklyn Village, Bushbuckridge, Mpumalanga, 1280","-24.60017, 30.99278",-32.92419,27.42365
 Buffelshoek Clinic - Bushbuckridge,+27 13 795 0517,"Next to Hladishi High School, Buffelshoek Village, Acornhoek, Nelspruit, Mpumalanga, 1360","-24.63369, 31.12856",-32.92419,27.42365
 Buffelspruit Clinic,+27 13 781 5811,"Stand 124, Buffelspruit, Shongwe Mission, Mpumalanga, 1331","-25.65893, 31.52107",-32.92419,27.42365
 Calcutta Clinic,+27 13 708 7914,"Near to Thayaza High School, Acornhoek, Nelspruit, Mpumalanga, 1360","-24.97292, 31.21611",-32.92419,27.42365
 Calcutta Victim Empowerment Programme,+27 13 708 6901,"Calcutta South African Police Services, Main Road, Mkhuhlu, Hazyview, Mpumalanga, 1246","-25.48002, 30.97119",-32.92419,27.42365
 Carolina Clinic,+27 17 843 3023,"1 Kantoor Street, Carolina, Mpumalanga, 1185","-25.09248, 30.45189",-32.92419,27.42365
 Carolina Hospital,+27 17 843 1121,"20 Pearce Street, Carolina, Mpumalanga, 1185","-26.07332, 30.10958",-32.92419,27.42365
 Casteel Clinic,+27 13 777 8100,"Bushbuckridge Road, Casteel, Acornhoek, Mpumalanga, 1370","-24.72136, 31.03125",-32.92419,27.42365
 Casteel Community Home-Based Care,+27 72 419 8080,"Next to Casteel Clinic, Ward 14, Casteel, Acornhoek, Mpumalanga, 1370","-24.72587, 31.03374",-32.92419,27.42365
 Cathyville Clinic,+27 13 712 8938,"Napur Street, Asiatic Extension, Barberton, Mpumalanga, 1300","-25.77640, 31.03980",-32.92419,27.42365
 CCM Damoyi Care Centre (Methodist Church),+27 79 497 5681,"34222 Lipopotswane Street, Siyathemba, Balfour, Mpumalanga, 2410","-26.65188, 28.61189",-32.92419,27.42365
 Child Welfare South Africa - Nelspruit,+27 13 753 3330,"10 Ehmke Street, Nelspruit, Mpumalanga, 1201","-25.47940, 30.98679",-32.92419,27.42365
 Child Welfare South Africa - Qubekani/Ermelo,+27 17 811 3884,"Sikhula Ngolwazi, Extension 1, 872 Mabuza Street, Ermelo, Mpumalanga, 2350","-26.64942, 30.67420",-32.92419,27.42365
 Child Welfare South Africa - White River,+27 13 750 1001,"Corner of Joe Hanna and Willem Swanepoel Streets, White River, Mpumalanga, 1240","-25.32737, 31.01741",-32.92419,27.42365
 Child Welfare South Africa - Witbank/Emalahleni,+27 13 656 2471,"40 Jellico Street, eMalahleni, Mpumalanga, 1034","-24.83749, 31.04277",-32.92419,27.42365
