name,telephone,adress,gps,lattitude,longitude
 Abraham Esau Hospital,+27 27 341 8020,"Corner of Hofmeyer and Inner Streets, Calvinia, Northern Cape, 8190","-31.46187, 19.77654",-31.46187,19.77654
" Age-in-Action - De Aar, Northern Cape",+27 53 631 7277,"1st Floor, 15 Hoof Street, De Aar, Northern Cape, 7000","-30.65104, 24.00993",-30.65104,24.00993
" Age-in-Action - Upington, Northern Cape",+27 54 332 1339,"Office 116 - 117, River City Centre, Corner of Hill and Scott Streets, Upington, Northern Cape, 8800","-28.45681, 21.24687",-28.45681,21.24687
 Alexander Bay Clinic,+27 27 831 1993,"1 Hospital Street, Alexander Bay, Northern Cape, 8290","-29.67672, 17.06463",-29.67672,17.06463
 Alexander Bay Community Health Centre,+27 27 831 1993,"1 Hospital Street, Alexander Bay, Northern Cape, 8290","-28.61239, 16.48391",-28.61239,16.48391
 Alexander Bay Youth Development Centre,+27 73 078 7238,"2 Weshoek Avenue, Alexander Bay, Northern Cape, 8290","-28.60736, 16.48476",-28.60736,16.48476
 Britstown Clinic,+27 53 672 0060,"Van Jaarsveldt Street, Britstown, Northern Cape, 8782","-27.44334, 23.43626",-27.44334,23.43626
 Carnarvon Community Health Centre,+27 53 382 3036,"Hospital Avenue, Carnarvon, Northern Cape, 8925","-30.96382, 22.12632",-30.96382,22.12632
 Catherine Koi Koi Clinic,+27 53 331 0205,"Oitloung Street, Olifantshoek, Northern Cape, 8450","-27.93333, 22.73333",-27.93333,22.73333
 Child Welfare South Africa - Douglas,+27 53 298 4309,"173 Bowker Street, Douglas, Northern Cape, 8730","-29.05788, 23.77038",-29.05788,23.77038
 Child Welfare South Africa - Keimoes,+27 54 461 0302,"Oranjesig Hostel, Main Road, Akasiapark, Keimoes, Northern Cape, 8860","-28.74969, 24.77820",-28.74969,24.77820
 City Clinic,+27 53 830 6616,"Corner of Buldfontein and Lawson Streets, Kimberley, Northern Cape, 8300","-28.75050, 24.76299",-28.75050,24.76299
 De Aar Hospital,+27 53 631 2123,"Visser Street, De Aar, Northern Cape, 7000","-30.65961, 24.00886",-30.65961,24.00886
" Department of Justice and Constitutional Development, Office of the Family Advocate - Kimberley",+27 53 833 1019,"5th Floor, New Public Building (Magistrate's Court), Corner of Knight and Stead Streets, Kimberley, Northern Cape, 8301","-28.73730, 24.76493",-28.73730,24.76493
 Diamond Gay and Lesbians - Kimberely,+27 82 816 8438,"21588 Tambo Square, Galeshewe, Kimberly, Northern Cape, 8345","-28.72145, 24.70248",-28.72145,24.70248
 Dikgatlong Local Municipality,+27 53 531 0671,"33 Campbell Street, Barkly West, Northern Cape, 8375","-28.53749, 24.52207",-28.53749,24.52207
 Dingleton Clinic,+27 53 724 2042,"10 Kiewiet Street, Dingleton, Northern Cape, 8445","-27.78547, 22.98385",-27.78547,22.98385
 Douglas Community Health Centre,+27 53 298 2812,"Bowker Street, Douglas, Northern Cape, 8730","-29.05995, 23.76818",-29.05995,23.76818
 Ethembeni Community and Trauma Centre,+27 53 631 4379,"3 Friedlander Street, De Aar, Northern Cape, 7000","-30.65094, 24.01299",-30.65094,24.01299
 Ga-Segonyana Local Municipality,+27 53 712 9333,"Corner of Voortrekker and Skool Streets, Kuruman, Northern Cape, 8460","-33.06566, 18.33622",-33.06566,18.33622
 Gadiboe Clinic,+27 53 775 1213,"Stand E59, Gadiboe Village, Kuruman, Northern Cape, 8460","-27.07591, 23.29435",-27.07591,23.29435
 Galeshewe Community Health Clinic,+27 53 802 2273,"Tyson Road, Kimberley, Northern Cape, 8301","-28.72797, 24.74685",-28.72797,24.74685
 Gamagara Local Municipality,+27 53 723 2261,"Civic Centre, Corner of Hendrik van Eck Road and Frikkie Meyer Street, Kathu, Northern Cape, 8446","-28.76052, 24.78377",-28.76052,24.78377
