name,telephone,adress,gps,lattitude,longitude
 AfriSam Clinic,+27 18 637 0097,"Stand 57, Dudfield Farm, Dudfield, North West, 3740","-26.19000, 26.16000",-32.92419,27.42365
" Age-in-Action - Klerksdorp, North West",+27 18 462 2077,"Office 10, West End Building, 51 Leask Street, Klerksdorp, North West, 2570","-26.86821, 26.66682",-32.92419,27.42365
" Age-in-Action - Mahikeng, North West",+27 18 384 0193,"479 DP Kgotleng Street, Motshiwa, Mahikeng, North West, 2745","-25.85125, 25.62630",-32.92419,27.42365
" Age-in-Action - Mahikeng, North West",+27 18 381 4796,"Suite 3, Calgen House, Mandela Drive, Mahikeng, North West, 2745","-25.86876, 25.64949",-32.92419,27.42365
 Age-in-Action - North West Provincial Office,+27 18 381 4796,"Suite 7, Calgen House, Mandela Drive, Mahikeng, North West, 2745","-25.86876, 25.64949",-32.92419,27.42365
" Age-in-Action - Vryburg, North West",+27 53 927 2008,"40 Moffatt Street, Vryburg, North West, 8600","-26.95708, 24.73240",-32.92419,27.42365
 Alabama Clinic,+27 18 467 5009,"65 Alex Street, Alabama, Klerksdorp, North West, 2577","-26.87193, 26.59043",-32.92419,27.42365
 Anglican Church of Southern Africa - North West,+27 18 462 5530,"9 Muller Street, Freemanville, Klerksdorp, North West, 2571","-26.86890, 26.64413",-32.92419,27.42365
 Anna Legoale Clinic,+27 12 270 1881,"Next to the Municipal Hall, Hartbeesfontein, Brits, North West, 0250","-26.85027, 26.78027",-32.92419,27.42365
 Aurum Institute for Health Research - Rustenburg,+27 14 592 2480,"50 Steen Street, Rustenburg, North West, 0299","-25.67093, 27.24331",-32.92419,27.42365
 Austrey Clinic,+27 79 894 2343,"Next to Tribal Court, Ganyisa Village, 292 Dagamya Street, Vryburg, North West, 8600","-26.46658, 24.18139",-32.92419,27.42365
 Ba-Leema Clinic,+27 14 513 0013,"Stand 10037, Thaglaganyane Village, Baleema, Rustenburg, North West, 0336","-25.67049, 27.23716",-32.92419,27.42365
 Ba-Leema Tshwaragano Home-Based Care,+27 14 513 0063,"Stand 427, Sikwa Section, Baleema, Rustenburg, North West, 0336","-25.67049, 27.23716",-32.92419,27.42365
 Bafokeng Community Health Centre,+27 14 566 4720,"Next to Platinum Health Building, Manotshe Road, Phokeng Village, Rustenburg, North West, 0335","-25.55946, 27.15590",-32.92419,27.42365
 Bakhutama Health Services,+27 73 208 2295,"Stand 192, Plot 78, Brits, North West, 0250","-25.63385, 27.78241",-32.92419,27.42365
