name,telephone,adress,gps,lattitude,longitude
 Abba Family Counselling Centre,+27 21 859 1480,"Lampie Fick Street, Grabouw, Western Cape, 7160","-34.15758, 18.99263",-32.92419,27.42365
 Abigail Women's Movement,+27 21 388 5552,"33 Galaxy Crescent, Ikwezi Park, Khayelitsha, Western Cape, 7784","-34.00941, 18.63629",-32.92419,27.42365
 Afrikaanse Christelike Vroue Vereeniging - Azaleahof Bewaarskool,+27 21 887 0136,"11 Van Riebeek Street, Stellenbosch, Western Cape, 7600","-33.92921, 18.42721",-32.92419,27.42365
 Afrikaanse Christelike Vroue Vereeniging - Bredasdorp,+27 28 424 1450,"12 Hopley Street, Bredasdorp, Western Cape, 7280","-34.53459, 20.03651",-32.92419,27.42365
 Afrikaanse Christelike Vroue Vereeniging - Cape Town,+27 21 462 1060,"61 Caledon Street, Cape Town, Western Cape, 8001","-33.92669, 18.42380",-32.92419,27.42365
 Afrikaanse Christelike Vroue Vereeniging - Noorde-Paarl,+27 21 872 3487,"5 Gymnasium Street, Paarl, Western Cape, 7646","-33.73245, 18.96172",-32.92419,27.42365
 Age-in-Action - Western Cape Provincial Office,+27 21 423 0204,"3rd Floor, Boland Bank Building, Lower Burg Street, Cape Town, Western Cape, 8001","-33.92011, 18.42297",-32.92419,27.42365
 Alan Blyth Hospital,+27 28 551 1010,"Upper Church Street, Ladismith, Western Cape, 6655","-33.49295, 21.26552",-32.92419,27.42365
 Albertinia Clinic,+27 28 735 1045,"Station Road, Albertinia, Western Cape, 6695","-34.20472, 21.58444",-32.92419,27.42365
 Albertinia Mobile Clinic,+27 28 735 1045,"Station Road, Albertinia, Western Cape, 6695","-34.00506, 18.73090",-32.92419,27.42365
 Annie Brown Clinic,+27 23 316 1142,"Lylle Street, Witzenberg, Ceres, Western Cape, 6835","-33.37694, 19.31250",-32.92419,27.42365
 Arisen Women Foundation,+27 21 372 6839,"4 Hugo Naude Road, New Woodlands, Mitchells Plain, Western Cape, 7785","-34.02747, 18.60152",-32.92419,27.42365
 Baphumelele Respite Care Centre,+27 21 361 8632,"Z114 Dabula Street, Khayelitsha, Cape Town, Western Cape, 7784","-34.02946, 18.65468",-32.92419,27.42365
 Barrydale Clinic,+27 28 572 1459,"22 Tinley Street, Barrydale, Western Cape, 6750","-33.90401, 20.72558",-32.92419,27.42365
 Barrydale Mobile Clinic,+27 28 572 1459,"22 Tinley Street, Barrydale, Western Cape, 6750","-33.90401, 20.72558",-32.92419,27.42365
 Beaufort West Community Day-Care Centre,+27 23 414 8200,"29 David Street, Beaufort West, Western Cape, 6970","-32.36457, 22.57693",-32.92419,27.42365
 Bella Vista Clinic,+27 23 315 5980,"1 Krisante Street, Bella Vista, Ceres, Western Cape, 6835","-33.33268, 19.32031",-32.92419,27.42365
 Bellville Reproductive Health Clinic,+27 21 946 2306,"Shop 9, Tygerberg Centre, 16 Voortrekker Road, Bellville, Cape Town, Western Cape, 7530","-33.91772, 18.55955",-32.92419,27.42365
 Bethesda Medical Service and Relief,+27 44 875 8088,"22 Beer Street, Rosemoor, George, Western Cape, 6529","-33.97451, 22.48074",-32.92419,27.42365
 Blue Downs Clinic,+27 21 909 9900,"Bentley Road, Blue Downs, Eerste River, Western Cape, 7100","-33.98069, 18.68624",-32.92419,27.42365
 Breede River Hospice - Robertson,+27 23 626 5710,"62 Paul Kruger Street, Robertson, Western Cape, 6705","-33.80222, 19.88334",-32.92419,27.42365
 Brewelskloof Hospital,+27 23 348 1305,"Haarlem Street, Worcester, Western Cape, 6850","-33.62165, 19.45474",-32.92419,27.42365
 Browns Farm Community Health Centre,+27 21 374 6063,"2495 Msingizane Street, Philippi Phase 4, Gugulethu, Western Cape, 7750","-34.00990, 18.57800",-32.92419,27.42365
 Buffeljags River Clinic,+27 28 512 3453,"Corner of Stout and Olivedale Avenues, Buffeljags River, Swellendam, Western Cape, 6742","-33.94321, 18.57043",-32.92419,27.42365
 Caledon Mobile 2,+27 28 212 1849,"Main Road, Caledon, Western Cape, 7230","-34.06288, 18.80970",-32.92419,27.42365
 Cape Peninsula University of Technology Campus Health Clinic - Bellville Campus,+27 21 959 6403,"Ground Floor, New Library Extension, Symphony Way, Bellville, Western Cape, 7530","-33.92746, 18.63218",-32.92419,27.42365
 Catholic Welfare and Development - Cape Town,+27 21 425 2095,"37A Somerset Road, Cape Town, Western Cape, 8001","-33.91494, 18.41801",-32.92419,27.42365
 Cheshire Homes South Africa - Eric Miles,+27 21 552 2120,"18 Corsair Close, Milnerton, Cape Town, Western Cape, 7441","-33.88335, 18.50364",-32.92419,27.42365
