Statistics South Africa
Descriptive_Electoral_Wards
Table 1
Geography by Gender
 for Person weighted
,"Male","Female"
"261 EC101: Camdeboo",24834,26160
"262 EC102: Blue Crane Route",17679,18324
"263 EC103: Ikwezi",5055,5481
"264 EC104: Makana",38175,42216
"265 EC105: Ndlambe",29034,32142
"266 EC106: Sundays River Valley",27762,26742
"267 EC107: Baviaans",8709,9054
"268 EC108: Kouga",48591,49968
"269 EC109: Kou-Kamma",20403,20259
"270 EC121: Mbhashe",117231,137679
"271 EC122: Mnquma",117873,134517
"272 EC123: Great Kei",18702,20286
"273 EC124: Amahlathi",58647,64131
"274 EC126: Ngqushwa",33984,38205
"276 EC127: Nkonkobe",61134,65982
"277 EC128: Nxuba",11676,12588
"278 EC131: Inxuba Yethemba",31671,33891
"279 EC132: Tsolwana",15657,17625
"280 EC133: Inkwanca",10674,11295
"281 EC134: Lukanji",90621,100104
"282 EC135: Intsika Yethu",68799,76575
"283 EC136: Emalahleni",56619,62838
"284 EC137: Engcobo",71955,83559
"285 EC138: Sakhisizwe",30645,32937
"286 EC141: Elundini",65481,72660
"287 EC142: Senqu",62805,71346
"288 EC143: Maletswai",20736,23067
"289 EC144: Gariep",16419,17256
"290 EC153: Ngquza Hill",128973,149508
"291 EC154: Port St Johns",71481,84654
"292 EC155: Nyandeni",134241,156150
"293 EC156: Mhlontlo",87441,100788
"294 EC157: King Sabata Dalindyebo",207951,243759
"295 EC441: Matatiele",93675,110169
"296 EC442: Umzimvubu",87945,103674
"297 EC443: Mbizana",128334,153573
"298 EC444: Ntabankulu",56535,67443
"260 BUF: Buffalo City",358557,396645
"299 NMA: Nelson Mandela Bay",552993,599121
All cells in this table have been randomly rounded to base 3

