Statistics South Africa
Descriptive_Electoral_Wards
Table 1
Geography by Gender
 for Person weighted
,"Male","Female","Total"
"21001001: Ward 1",4242,4500,8745
"21001002: Ward 2",3564,3693,7257
"21001003: Ward 3",2796,3123,5919
"21001004: Ward 4",5094,5184,10281
"21001005: Ward 5",2817,3204,6018
"21001006: Ward 6",3057,3402,6459
"21001007: Ward 7",3261,3051,6315
"21002001: Ward 1",2391,2361,4749
"21002002: Ward 2",3288,3456,6747
"21002003: Ward 3",3309,3669,6978
"21002004: Ward 4",2937,2994,5931
"21002005: Ward 5",2547,2898,5448
"21002006: Ward 6",3207,2943,6150
"21003001: Ward 1",1200,1266,2469
"21003002: Ward 2",1914,2130,4044
"21003003: Ward 3",786,777,1563
"21003004: Ward 4",1155,1305,2460
"21004001: Ward 1",1479,1473,2955
"21004002: Ward 2",3306,3789,7095
"21004003: Ward 3",3135,3330,6465
"21004004: Ward 4",4266,4203,8469
"21004005: Ward 5",3849,4473,8319
"21004006: Ward 6",2115,2592,4707
"21004007: Ward 7",1419,1518,2937
"21004008: Ward 8",2115,2472,4587
"21004009: Ward 9",2364,2646,5010
"21004010: Ward 10",3156,3594,6753
"21004011: Ward 11",3201,3717,6915
"21004012: Ward 12",1179,1749,2928
"21004013: Ward 13",3219,3276,6495
"21004014: Ward 14",3372,3381,6753
"21005001: Ward 1",2712,3000,5712
"21005002: Ward 2",3321,3627,6948
"21005003: Ward 3",3129,3360,6489
"21005004: Ward 4",2427,2769,5193
"21005005: Ward 5",2916,3399,6315
"21005006: Ward 6",4326,4662,8991
"21005007: Ward 7",2610,2784,5394
"21005008: Ward 8",2034,2301,4335
"21005009: Ward 9",3042,3345,6384
"21005010: Ward 10",2523,2892,5415
"21006001: Ward 1",2838,3171,6009
"21006002: Ward 2",3570,3735,7305
"21006003: Ward 3",3798,3945,7743
"21006004: Ward 4",2337,2493,4833
"21006005: Ward 5",2607,2694,5301
"21006006: Ward 6",2988,2751,5739
"21006007: Ward 7",4815,3429,8247
"21006008: Ward 8",4806,4521,9327
"21007001: Ward 1",1125,1200,2322
"21007002: Ward 2",2337,2391,4728
"21007003: Ward 3",3774,3918,7692
"21007004: Ward 4",1479,1542,3021
"21008001: Ward 1",1113,1014,2124
"21008002: Ward 2",1518,1617,3138
"21008003: Ward 3",387,408,795
"21008004: Ward 4",7056,7356,14412
"21008005: Ward 5",1533,1728,3261
"21008006: Ward 6",2859,3087,5943
"21008007: Ward 7",4851,4566,9417
"21008008: Ward 8",3972,4248,8220
"21008009: Ward 9",4650,5259,9909
"21008010: Ward 10",3372,3561,6930
"21008011: Ward 11",1272,1611,2883
"21008012: Ward 12",3126,3006,6132
"21008013: Ward 13",3456,3033,6486
"21008014: Ward 14",3471,3534,7005
"21008015: Ward 15",5958,5940,11898
"21009001: Ward 1",5547,5109,10656
"21009002: Ward 2",2889,2964,5850
"21009003: Ward 3",2610,2883,5496
"21009004: Ward 4",3150,3174,6324
"21009005: Ward 5",3489,3411,6900
"21009006: Ward 6",2721,2715,5436
"21201001: Ward 1",3309,3765,7074
"21201002: Ward 2",4053,4347,8397
"21201003: Ward 3",3300,3693,6993
"21201004: Ward 4",3183,3795,6981
"21201005: Ward 5",4374,4827,9201
"21201006: Ward 6",3660,4239,7899
"21201007: Ward 7",3231,3639,6873
"21201008: Ward 8",3579,4380,7959
"21201009: Ward 9",5355,6159,11517
"21201010: Ward 10",3798,4173,7971
"21201011: Ward 11",3372,4206,7575
"21201012: Ward 12",3786,4320,8106
"21201013: Ward 13",3237,3870,7107
"21201014: Ward 14",3336,4083,7416
"21201015: Ward 15",5064,6459,11523
"21201016: Ward 16",4659,5715,10374
"21201017: Ward 17",4152,4782,8937
"21201018: Ward 18",2898,3555,6447
"21201019: Ward 19",5688,6831,12513
"21201020: Ward 20",3984,5004,8988
"21201021: Ward 21",3096,3579,6675
"21201022: Ward 22",3561,4227,7788
"21201023: Ward 23",3924,4773,8697
"21201024: Ward 24",3261,3684,6948
"21201025: Ward 25",3537,4212,7746
"21201026: Ward 26",4101,5235,9336
"21201027: Ward 27",2982,3234,6216
"21201028: Ward 28",4200,5172,9375
"21201029: Ward 29",3141,3309,6450
"21201030: Ward 30",3942,4548,8487
"21201031: Ward 31",3480,3867,7344
"21202001: Ward 1",3021,3141,6165
"21202002: Ward 2",3642,4284,7929
"21202003: Ward 3",3396,4212,7605
"21202004: Ward 4",3606,4638,8241
"21202005: Ward 5",4485,5094,9579
"21202006: Ward 6",2532,3633,6165
"21202007: Ward 7",4158,4653,8811
"21202008: Ward 8",3474,3708,7182
"21202009: Ward 9",3888,4071,7959
"21202010: Ward 10",3087,3381,6471
"21202011: Ward 11",3780,4137,7914
"21202012: Ward 12",3603,3858,7458
"21202013: Ward 13",3471,3684,7155
"21202014: Ward 14",3501,3933,7437
"21202015: Ward 15",2850,3270,6120
"21202016: Ward 16",3522,3918,7440
"21202017: Ward 17",3825,4149,7977
"21202018: Ward 18",4251,4350,8601
"21202019: Ward 19",3621,3900,7521
"21202020: Ward 20",3612,3789,7404
"21202021: Ward 21",3711,4029,7737
"21202022: Ward 22",4353,5343,9696
"21202023: Ward 23",3465,4029,7494
"21202024: Ward 24",4710,5490,10200
"21202025: Ward 25",5118,6492,11610
"21202026: Ward 26",4776,5712,10488
"21202027: Ward 27",4371,5088,9462
"21202028: Ward 28",4155,4623,8778
"21202029: Ward 29",4182,4713,8892
"21202030: Ward 30",3411,4137,7548
"21202031: Ward 31",4287,5061,9348
"21203001: Ward 1",3270,3405,6675
"21203002: Ward 2",2055,2280,4338
"21203003: Ward 3",2616,3027,5640
"21203004: Ward 4",2799,3159,5958
"21203005: Ward 5",2655,2691,5346
"21203006: Ward 6",2763,2952,5715
"21203007: Ward 7",2547,2775,5319
"21204001: Ward 1",2640,2844,5481
"21204002: Ward 2",3426,3891,7314
"21204003: Ward 3",2808,3204,6012
"21204004: Ward 4",3252,3351,6603
"21204005: Ward 5",3330,3591,6921
"21204006: Ward 6",3651,3891,7542
"21204007: Ward 7",2580,3018,5595
"21204008: Ward 8",2952,3402,6357
"21204009: Ward 9",2475,2652,5127
"21204010: Ward 10",2496,2562,5058
"21204011: Ward 11",2454,2682,5133
"21204012: Ward 12",3555,3951,7509
"21204013: Ward 13",2445,2628,5073
"21204014: Ward 14",3378,3708,7086
"21204015: Ward 15",2805,2862,5667
"21204016: Ward 16",3582,3963,7545
"21204017: Ward 17",2514,2622,5133
"21204018: Ward 18",2586,2979,5562
"21204019: Ward 19",2667,2982,5649
"21204020: Ward 20",3048,3351,6402
"21206001: Ward 1",2592,2961,5553
"21206002: Ward 2",2865,3102,5961
"21206003: Ward 3",2787,3042,5829
"21206004: Ward 4",2658,2901,5559
"21206005: Ward 5",2901,3165,6066
"21206006: Ward 6",2529,2814,5343
"21206007: Ward 7",2829,3225,6051
"21206008: Ward 8",2544,2847,5391
"21206009: Ward 9",2322,2574,4896
"21206010: Ward 10",2322,2688,5010
"21206011: Ward 11",2799,3165,5964
"21206012: Ward 12",2181,2604,4782
"21206013: Ward 13",2658,3120,5778
"21207001: Ward 1",2214,2604,4821
"21207002: Ward 2",2817,2988,5805
"21207003: Ward 3",2544,2934,5478
"21207004: Ward 4",3513,3948,7461
"21207005: Ward 5",2733,2832,5562
"21207006: Ward 6",2856,3285,6144
"21207007: Ward 7",3081,3123,6204
"21207008: Ward 8",3378,3720,7098
"21207009: Ward 9",3945,4254,8202
"21207010: Ward 10",2952,2928,5880
"21207011: Ward 11",2133,2520,4650
"21207012: Ward 12",2643,2961,5607
"21207013: Ward 13",3123,3435,6561
"21207014: Ward 14",2781,3180,5961
"21207015: Ward 15",3642,3843,7485
"21207016: Ward 16",3717,3066,6783
"21207017: Ward 17",2343,2505,4848
"21207018: Ward 18",2997,3333,6327
"21207019: Ward 19",2388,2619,5007
"21207020: Ward 20",2634,2721,5355
"21207021: Ward 21",2703,3177,5883
"21208001: Ward 1",2517,2850,5364
"21208002: Ward 2",2088,2184,4272
"21208003: Ward 3",1617,1770,3384
"21208004: Ward 4",5457,5784,11241
"21301001: Ward 1",3216,3714,6930
"21301002: Ward 2",2634,2934,5565
"21301003: Ward 3",2385,2532,4917
"21301004: Ward 4",3072,3432,6504
"21301005: Ward 5",4248,4500,8751
"21301006: Ward 6",6294,5943,12234
"21301007: Ward 7",3924,4476,8403
"21301008: Ward 8",3117,3258,6372
"21301009: Ward 9",2787,3096,5880
"21302001: Ward 1",3216,3885,7101
"21302002: Ward 2",2670,2973,5643
