Statistics South Africa
Descriptive_Electoral_Wards
Table 1
Geography by Gender
 for Person weighted
,"Male","Female","Total"
"NC061: Richtersveld",6300,5682,11982
"NC062: Nama Khoi",23214,23826,47040
"NC064: Kamiesberg",5136,5052,10185
"NC065: Hantam",10809,10770,21579
"NC066: Karoo Hoogland",6255,6336,12588
"NC067: Khâi-Ma",6561,5907,12465
"NC071: Ubuntu",9225,9378,18600
"NC072: Umsobomvu",13689,14685,28377
"NC073: Emthanjeni",20724,21633,42357
"NC074: Kareeberg",5757,5916,11673
"NC075: Renosterberg",5370,5607,10977
"NC076: Thembelihle",7974,7725,15702
"NC077: Siyathemba",10758,10833,21591
"NC078: Siyancuma",18570,18504,37077
"NC081: Mier",3600,3405,7002
"NC082: Kai !Garib",34278,31593,65868
"NC083: //Khara Hais",46047,47448,93495
"NC084: !Kheis",8409,8229,16638
"NC085: Tsantsabane",18363,16731,35091
"NC086: Kgatelopele",9474,9216,18687
"NC091: Sol Plaatjie",120210,127830,248040
"NC092: Dikgatlong",23061,23778,46839
"NC093: Magareng",11730,12474,24204
"NC094: Phokwane",30492,32511,63000
"NC451: Joe Morolong",41262,48267,89529
"NC452: Ga-Segonyana",44994,48657,93651
"NC453: Gamagara",22710,18906,41619
All cells in this table have been randomly rounded to base 3

