Region,Court Type,Office Name,Equality Court,Small Claims Court,Sexual Offence Court,Mediation Services,telephone,fax,adress,GPS
Easern Cape,Magisrae Cour,Aberdeen,Yes,Yes,No,No,049 846 0013,049 846 0671,2A Porer Sree Aberdeen 6270,E 24.06257; S -32.47731
Mpumalanga,Branch Cour,Acornhoek,No,Yes (Sessions Only),No,No,013 795 5969,013 799 0407,Nex o SAPS Acornhoek,-24.5971; 31.04835
Easern Cape,Periodical Cour,Addo,No,No,No,No,See Kirkwood,No,Main Road (R335),E 25.68985; S -33.54771
Easern Cape,Magisrae Cour,Adelaide,Yes,Yes,No,No,046 684 0025,046 684 1233,49A Church Sree Adelaide 5760,E 26.29308; S -32.70665
Wesern Cape,Periodical Cour,Alberinia,No,No,No,No,028 735 1007,028 735 1583,6 William Sree Alberinia 6695,E 21.58298; S -34.20496
Gaueng,Deached Cour,Alexandra,Yes,Yes,No,No,011 786 5181/2971; 011 887 9511,011 786 5191,223 2nd Sree  Wynberg,-26.11211; 28.08758
Easern Cape,Magisrae Cour,Alexandria,Yes,Yes,No,No,046 653 0014,046 653 0164 /1271,2 Cour Sree Alexandria 6185,E 26.41158; S -33.65066
Easern Cape,Magisrae Cour,Alice,Yes,Yes,No,No,040 653 0037,040 653 2221,Long Marke Sree Alice 5700,E 26.83799; S -32.78887
Easern Cape,Periodical Cour,Alicedale,No,No,No,No,046 622 7303,046 622 5543,119A High Sree Grahamsown 6140,E 26.08544; S -33.31672
Easern Cape,Magisrae Cour,Aliwal Norh,Yes,Yes,No,No,051 633 2244,051 634 2293,15 Smih Sree Aliwal-Norh 9750,E 26.71037; S -30.6871
Limpopo,Branch Cour,Alldays,No,No,No,No,015 516 0181/2/3,015 516 0044,Rooibos Sree SAPS Alldays,-22.68185; 29.10505
KwaZulu-Naal,Branch Cour,Amanzimoi,No,No,No,No,031 903 0602,031 903 5320,c/o Nelson & Adams Road Amanzimoi 4126,E 30.8801; S -30.05127
Mpumalanga,Magisrae Cour,Amersfoor,Yes,Yes,No,No,017 753 1004/1070,017 753 1559,c/o Plain &Sybrand van Niekerk Sree Amersfoor 2490,-27.00805; 29.87206
Mpumalanga,Branch Cour,Amserdam,No,Yes (Sessions Only),No,No,017 846 9265,017 846 9265 el/fax,93 Presiden Sree Amserdam 2375,-26.62343; 30.66065
Wesern Cape,Periodical Cour,Ashon,No,No,No,No,023 614 1105,023 614 3974,Saion Road Ashon,E 20.06686; S -33.83376
Norh Wes,Periodical Cour,Assen,No,No,No,No,012 252 3223,012 252 3223,Assen Police Saion,-25.16724; 27.60205
Norh Wes,Deached Cour,Aamelang,No,Yes,No,Yes,018 334 2935/ 3520/ 2200/ 2142,018 334 3521,1026 Simi Seadi Avenue Aamelang 2732,-26.50188; 25.36968
Wesern Cape,Branch Cour,Ahlone,No,No,No,No,021 697 1246,021 697 1746,Old Klipfonein Road Ahlone 7764,E 18.50645; S -33.96148
Wesern Cape,Deached Cour,Alanis,Yes,Yes,Yes,No,021 572 1003,021 572 3230,c/o Wesfleur Circle & Reygersdal Sree Wesfleur,E 18.49383; S -33.56632
Gaueng,Deached Cour,Aeridgeville,No,Yes,No,No,012 373 1140,012 373 1137,1 Hlahla Sree Aeridgeville 0008,-25.77375; 28.0718
Norhern Cape,Periodical Cour,Augrabies,No,No,No,No,See Kakamas,No,No,No
KwaZulu-Naal,Magisrae Cour,Babanango,Yes,Yes,No,No,035 835 0044,035 835 0007,Lo 59 c/o Jusice & Main Sree Babanango 3850,E 31.08322; S -28.37697
Easern Cape,Periodical Cour,Balfour [EC,No,No,No,No,See Seymour,No,No,E 26.67652; S -32.53637
Mpumalanga,Magisrae Cour,Balfour [MP,Yes,Yes,No,No,017 773 0157,017 773 1127,c/o Themba Shozi & Frank Sree Balfour 2410,-26.66341; 28.58758
Limpopo,Periodical Cour,Bandelierkop,No,No,No,No,015 516 0181/2/3,015 516 0044,SAPS Bandelierkop,-23.3178; 29.80374
Mpumalanga,Magisrae Cour,Barberon,Yes,Yes,No,No,013 712 2104/ 3284/ 3267,013 712 5122,Presiden Plein De Villiers Sree Barberon 1300. Nex o he Municipaliy Building.,-25.78954; 31.05255
Easern Cape,Magisrae Cour,Barkly Eas,Yes,Yes,No,No,045 971 0013,045 971 0585,Graskop Main Road Bushbuckridge 1280,E 27.59273; S -30.96776
Norhern Cape,Magisrae Cour,Barkly Wes,Yes,Yes,Yes,No,053 531 0621/23,053 531 0812,9 Transvaal Road Barkly Wes 8375,-28.53662; 24.52611
Wesern Cape,Periodical Cour,Barrydale,No,No,No,No,028 514 1109/ 1160/ 1223,028 514 2342,6 Bain Sree Barrydale,E 20.72136; S -33.90294
Free Sae,Branch Cour,Baho,No,No,No,No,051 432 4728 / 4729 / 506 1111,051 432 9285,Cnr Forhar & Lovedale Road Baho 9323,E 26.22632; S -29.13556
Wesern Cape,Magisrae Cour,Beaufor Wes,Yes,Yes,No,No,023 415 1787,023 414 4658,c/o Church & Bird Sree Beaufor Wes 6970,E 22.58442; S -32.35008
