Adress,Court Type,Equality Court,GPS,Mediation Services,Office Name,Region,Sexual Offence Court,Small Claims Court,adress,fax,telephone
c/o Wesfleur Circle & Reygersdal Street Wesfleur,Detached Court,Yes, 18.49383;  -33.56632,No,Atlantis,Western Cape,Yes,Yes,,021 572 3230,021 572 1003
1 Hlahla Street Atteridgeville 0008,Detached Court,No,-25.77375; 28.0718,No,Atteridgeville,Gauteng,No,Yes,,012 373 1137,012 373 1140
,Periodical Court,No,,No,Augrabies,Northern Cape,No,No,,,See Kakamas
Lot 59 c/o Justice & Main Street Babanango 3850,Magistrate Court,Yes,-28.37697 31.08321,No,Babanango,KwaZulu-Natal,No,Yes,,035 835 0007,035 835 0044
,Periodical Court,No,-32.53637 26.67651,No,Balfour [EC,Eastern Cape,No,No,,,See Seymour
c/o Themba Shozi & Frank Street Balfour 2410,Magistrate Court,Yes,-26.66341; 28.58758,No,Balfour [MP,Mpumalanga,No,Yes,,017 773 1127,017 773 0157
SAPS Bandelierkop,Periodical Court,No,-23.3178; 29.80374,No,Bandelierkop,Limpopo,No,No,,015 516 0044,015 516 0181/2/3
President Plein De Villiers Street Barberton 1300. Next to the Municipality Building.,Magistrate Court,Yes,-25.78954; 31.05255,No,Barberton,Mpumalanga,No,Yes,,013 712 5122,013 712 2104/ 3284/ 3267
Graskop Main Road Bushbuckridge 1280,Magistrate Court,Yes,-30.96776 27.59272,No,Barkly East,Eastern Cape,No,Yes,,045 971 0585,045 971 0013
9 Transvaal Road Barkly West 8375,Magistrate Court,Yes,-28.53662; 24.52611,No,Barkly West,Northern Cape,Yes,Yes,,053 531 0812,053 531 0621/23
6 Bain Street Barrydale,Periodical Court,No, 20.72136;  -33.90294,No,Barrydale,Western Cape,No,No,,028 514 2342,028 514 1109/ 1160/ 1223
Cnr Forthar & Lovedale Road Batho 9323,Branch Court,No, 26.22632;  -29.13556,No,Batho,Free State,No,No,,051 432 9285,051 432 4728 / 4729 / 506 1111
c/o Church & Bird Street Beaufort West 6970,Magistrate Court,Yes, 22.58442;  -32.35008,No,Beaufort West,Western Cape,No,Yes,,023 414 4658,023 415 1787
