Region,Proclaimed Magisterial District,Court Type,Office Name,Previously known as,Also known as,Equality Court,Small Claims Court,Sexual Offence Court,Mediation Services,telephone,fax,postal_adress,adress,GPS
"[<span class=""officecolor"">Region:</span>, ' Eastern Cape']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Aberdeen']","[<span class=""officecolor"">Court Type: </span>, 'Magistrate Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Aberdeen</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'Yes ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '049 846 0013']","[<span class=""officecolor"">Fax: </span>, '049 846 0671']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag x 206, Aberdeen 6270']","[<span class=""officecolor"">Physical Address: </span>, '2A Porter Street, Aberdeen 6270\t']","[<span class=""officecolor"">GPS Coordinates: </span>, 'E 24.06257; S -32.47731\t']"
"[<span class=""officecolor"">Region:</span>, ' Mpumalanga']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Mankweng, Mapulaneng, Mhala']","[<span class=""officecolor"">Court Type: </span>, 'Branch Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Acornhoek</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'No ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes (Sessions Only)']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '013 795 5969']","[<span class=""officecolor"">Fax: </span>, '013 799 0407']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X9303, Bushbuckridge 1280']","[<span class=""officecolor"">Physical Address: </span>, 'Next to SAPS Acornhoek\t']","[<span class=""officecolor"">GPS Coordinates: </span>, '-24.5971; 31.04835\t']"
"[<span class=""officecolor"">Region:</span>, ' Eastern Cape']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>]","[<span class=""officecolor"">Court Type: </span>, 'Periodical Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Addo</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'No ']","[<span class=""officecolor"">Small Claims Court: </span>, 'No']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, 'See Kirkwood']","[<span class=""officecolor"">Fax: </span>]","[<span class=""officecolor"">Postal Address: </span>]","[<span class=""officecolor"">Physical Address: </span>, 'Main Road (R335)\t']","[<span class=""officecolor"">GPS Coordinates: </span>, 'E 25.68985; S -33.54771\t']"
"[<span class=""officecolor"">Region:</span>, ' Eastern Cape']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Adelaide']","[<span class=""officecolor"">Court Type: </span>, 'Magistrate Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Adelaide</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'Yes ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '046 684 0025']","[<span class=""officecolor"">Fax: </span>, '046 684 1233']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag x 310, Adelaide 5760']","[<span class=""officecolor"">Physical Address: </span>, '49A Church Street, Adelaide 5760\t']","[<span class=""officecolor"">GPS Coordinates: </span>, 'E 26.29308; S -32.70665\t']"
"[<span class=""officecolor"">Region:</span>, ' Western Cape']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>]","[<span class=""officecolor"">Court Type: </span>, 'Periodical Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Albertinia</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'No ']","[<span class=""officecolor"">Small Claims Court: </span>, 'No']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '028 735 1007']","[<span class=""officecolor"">Fax: </span>, '028 735 1583']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X1, Albertinia 6695']","[<span class=""officecolor"">Physical Address: </span>, '6 William Street, Albertinia 6695\t']","[<span class=""officecolor"">GPS Coordinates: </span>, 'E 21.58298; S -34.20496\t']"
"[<span class=""officecolor"">Region:</span>, ' Gauteng']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Alexandra']","[<span class=""officecolor"">Court Type: </span>, 'Detached Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Alexandra</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2"">Wynberg [GP]</span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'Yes ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '011 786 5181/2971; 011 887 9511']","[<span class=""officecolor"">Fax: </span>, '011 786 5191']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag X1, Alexandra, 2014 ']","[<span class=""officecolor"">Physical Address: </span>, '223 2nd Street,  Wynberg\t']","[<span class=""officecolor"">GPS Coordinates: </span>, '-26.11211; 28.08758\t']"
"[<span class=""officecolor"">Region:</span>, ' Eastern Cape']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Alexandria']","[<span class=""officecolor"">Court Type: </span>, 'Magistrate Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Alexandria</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'Yes ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '046 653 0014']","[<span class=""officecolor"">Fax: </span>, '046 653 0164 /1271']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag x 1, Alexandria 6185']","[<span class=""officecolor"">Physical Address: </span>, '2 Court Street, Alexandria 6185\t']","[<span class=""officecolor"">GPS Coordinates: </span>, 'E 26.41158; S -33.65066\t']"
"[<span class=""officecolor"">Region:</span>, ' Eastern Cape']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Victoria East']","[<span class=""officecolor"">Court Type: </span>, 'Magistrate Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Alice</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2"">Victoria East</span>]","[<span class=""officecolor"">Equality Court: </span>, 'Yes ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '040 653 0037']","[<span class=""officecolor"">Fax: </span>, '040 653 2221']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag x 1313, Alice 5700']","[<span class=""officecolor"">Physical Address: </span>, 'Long Market Street, Alice 5700\t']","[<span class=""officecolor"">GPS Coordinates: </span>, 'E 26.83799; S -32.78887\t']"
"[<span class=""officecolor"">Region:</span>, ' Eastern Cape']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>]","[<span class=""officecolor"">Court Type: </span>, 'Periodical Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Alicedale</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'No ']","[<span class=""officecolor"">Small Claims Court: </span>, 'No']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '046 622 7303']","[<span class=""officecolor"">Fax: </span>, '046 622 5543']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag x 1004, Grahamstown 6140']","[<span class=""officecolor"">Physical Address: </span>, '119A High Street, Grahamstown 6140\t']","[<span class=""officecolor"">GPS Coordinates: </span>, 'E 26.08544; S -33.31672\t']"
"[<span class=""officecolor"">Region:</span>, ' Eastern Cape']","[<span class=""officecolor"">Proclaimed Magisterial District: </span>, 'Aliwal North']","[<span class=""officecolor"">Court Type: </span>, 'Magistrate Court']","[<span class=""officecolor"">Office Name: </span>, <span class=""officenamecolor"">Aliwal North</span>]","[<span class=""officecolor"">Previously known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Also known as: </span>, <span class=""officenamecolor2""></span>]","[<span class=""officecolor"">Equality Court: </span>, 'Yes ']","[<span class=""officecolor"">Small Claims Court: </span>, 'Yes']","[<span class=""officecolor"">Sexual Offence Court Rooms: </span>]","[<span class=""officecolor"">Mediation Services: </span>]","[<span class=""officecolor"">Tel: </span>, '051 633 2244']","[<span class=""officecolor"">Fax: </span>, '051 634 2293']","[<span class=""officecolor"">Postal Address: </span>, 'Private Bag x 1003, Aliwal-North 9750']","[<span class=""officecolor"">Physical Address: </span>, '15 Smith Street, Aliwal-North 9750\t']","[<span class=""officecolor"">GPS Coordinates: </span>, 'E 26.71037; S -30.6871\t']"
