Region	District	court_type	office_name	equality_court	small_claims_court	sexual_offense_court	telephone	fax	Address	GPS
 ' Eastern Cape']	 'Aberdeen']	 'Magistrate Court']	" <span class=""officenamecolor"">Aberdeen</span>]"	 'Yes ']	 'Yes']		 '049 846 0013']	 '049 846 0671']	 '2A Porter Street, Aberdeen 6270\t']	 'E 24.06257; S -32.47731\t']
 ' Mpumalanga']	 'Mankweng, Mapulaneng, Mhala']	 'Branch Court']	" <span class=""officenamecolor"">Acornhoek</span>]"	 'No ']	 'Yes (Sessions Only)']		 '013 795 5969']	 '013 799 0407']	 'Next to SAPS Acornhoek\t']	 '-24.5971; 31.04835\t']
 ' Eastern Cape']		 'Periodical Court']	" <span class=""officenamecolor"">Addo</span>]"	 'No ']	 'No']		 'See Kirkwood']		 'Main Road (R335)\t']	 'E 25.68985; S -33.54771\t']
 ' Eastern Cape']	 'Adelaide']	 'Magistrate Court']	" <span class=""officenamecolor"">Adelaide</span>]"	 'Yes ']	 'Yes']		 '046 684 0025']	 '046 684 1233']	 '49A Church Street, Adelaide 5760\t']	 'E 26.29308; S -32.70665\t']
 ' Western Cape']		 'Periodical Court']	" <span class=""officenamecolor"">Albertinia</span>]"	 'No ']	 'No']		 '028 735 1007']	 '028 735 1583']	 '6 William Street, Albertinia 6695\t']	 'E 21.58298; S -34.20496\t']
 ' Gauteng']	 'Alexandra']	 'Detached Court']	" <span class=""officenamecolor"">Alexandra</span>]"	 'Yes ']	 'Yes']		 '011 786 5181/2971; 011 887 9511']	 '011 786 5191']	 '223 2nd Street,  Wynberg\t']	 '-26.11211; 28.08758\t']
 ' Eastern Cape']	 'Alexandria']	 'Magistrate Court']	" <span class=""officenamecolor"">Alexandria</span>]"	 'Yes ']	 'Yes']		 '046 653 0014']	 '046 653 0164 /1271']	 '2 Court Street, Alexandria 6185\t']	 'E 26.41158; S -33.65066\t']
 ' Eastern Cape']	 'Victoria East']	 'Magistrate Court']	" <span class=""officenamecolor"">Alice</span>]"	 'Yes ']	 'Yes']		 '040 653 0037']	 '040 653 2221']	 'Long Market Street, Alice 5700\t']	 'E 26.83799; S -32.78887\t']
 ' Eastern Cape']		 'Periodical Court']	" <span class=""officenamecolor"">Alicedale</span>]"	 'No ']	 'No']		 '046 622 7303']	 '046 622 5543']	 '119A High Street, Grahamstown 6140\t']	 'E 26.08544; S -33.31672\t']
 ' Eastern Cape']	 'Aliwal North']	 'Magistrate Court']	" <span class=""officenamecolor"">Aliwal North</span>]"	 'Yes ']	 'Yes']		 '051 633 2244']	 '051 634 2293']	 '15 Smith Street, Aliwal-North 9750\t']	 'E 26.71037; S -30.6871\t']
 ' Limpopo']		 'Branch Court']	" <span class=""officenamecolor"">Alldays</span>]"	 'No ']	 'No']		 '015 516 0181/2/3']	 '015 516 0044']	 'Rooibos Street, SAPS Alldays\t']	 '-22.68185; 29.10505\t']
 ' KwaZulu-Natal']		 'Branch Court']	" <span class=""officenamecolor"">Amanzimtoti</span>]"	 'No ']	 'No']		 '031 903 0602 ']	 '031 903 5320']	 'c/o Nelson & Adams Road, Amanzimtoti 4126\t']	 'E 30.8801; S -30.05127\t']
 ' Mpumalanga']	 'Amersfoort']	 'Magistrate Court']	" <span class=""officenamecolor"">Amersfoort</span>]"	 'Yes ']	 'Yes']		 '017 753 1004/1070']	 '017 753 1559']	 'c/o Plain &Sybrand van Niekerk Street, Amersfoort 2490\t']	 '-27.00805; 29.87206\t']
 ' Mpumalanga']	 'Ermelo']	 'Branch Court']	" <span class=""officenamecolor"">Amsterdam</span>]"	 'No ']	 'Yes (Sessions Only)']		 '017 846 9265']	 '017 846 9265 tel/fax']	 '93 President Street, Amsterdam 2375\t']	 '-26.62343; 30.66065\t']
 ' Western Cape']		 'Periodical Court']	" <span class=""officenamecolor"">Ashton</span>]"	 'No ']	 'No']		 '023 614 1105']	 '023 614 3974']	 'Station Road, Ashton\t']	 'E 20.06686; S -33.83376\t']
 ' North West']		 'Periodical Court']	" <span class=""officenamecolor"">Assen</span>]"	 'No ']	 'No']		 '012 252 3223']	 '012 252 3223']	 'Assen Police Station\t']	 '-25.16724; 27.60205\t']
 ' North West']	 'Atamelang']	 'Detached Court']	" <span class=""officenamecolor"">Atamelang</span>]"	 'No ']	 'Yes']		 '018 334 2935/ 3520/ 2200/ 2142']	 '018 334 3521']	 '1026 Simi Seadi Avenue, Atamelang 2732\t']	 '-26.50188; 25.36968\t']
 ' Western Cape']		 'Branch Court']	" <span class=""officenamecolor"">Athlone</span>]"	 'No ']	 'No']		 '021 697 1246']	 '021 697 1746']	 'Old Klipfontein Road, Athlone 7764\t']	 'E 18.50645; S -33.96148\t']
 ' Western Cape']	 'Atlantis (Sub) (District of Malmesbury)']	 'Detached Court']	" <span class=""officenamecolor"">Atlantis</span>]"	 'Yes ']	 'Yes']	 'Yes']	 '021 572 1003']	 '021 572 3230']	 'c/o Wesfleur Circle & Reygersdal Street, Wesfleur\t']	 'E 18.49383; S -33.56632\t']
 ' Gauteng']	 'Atteridgeville']	 'Detached Court']	" <span class=""officenamecolor"">Atteridgeville</span>]"	 'No ']	 'Yes']		 '012 373 1140']	 '012 373 1137']	 '1 Hlahla Street, Atteridgeville 0008\t']	 '-25.77375; 28.0718\t']
 ' Northern Cape']		 'Periodical Court']	" <span class=""officenamecolor"">Augrabies</span>]"	 'No ']	 'No']		 'See Kakamas']		 ' ']	 ' ']
 ' KwaZulu-Natal']	 'Babanango']	 'Magistrate Court']	" <span class=""officenamecolor"">Babanango</span>]"	 'Yes ']	 'Yes']		 '035 835 0044']	 '035 835 0007']	 'Lot 59, c/o Justice & Main Street, Babanango 3850\t']	 'E 31.08322; S -28.37697\t']
 ' Eastern Cape']		 'Periodical Court']	" <span class=""officenamecolor"">Balfour [EC]</span>]"	 'No ']	 'No']		 'See Seymour']		 ' ']	 'E 26.67652; S -32.53637\t']
 ' Mpumalanga']	 'Balfour']	 'Magistrate Court']	" <span class=""officenamecolor"">Balfour [MP]</span>]"	 'Yes ']	 'Yes']		 '017 773 0157']	 '017 773 1127']	 'c/o Themba Shozi & Frank Street, Balfour 2410\t']	 '-26.66341; 28.58758\t']
 ' Limpopo']		 'Periodical Court']	" <span class=""officenamecolor"">Bandelierkop</span>]"	 'No ']	 'No']		 '015 516 0181/2/3']	 '015 516 0044']	 'SAPS Bandelierkop\t']	 '-23.3178; 29.80374\t']
 ' Mpumalanga']	 'Barberton']	 'Magistrate Court']	" <span class=""officenamecolor"">Barberton</span>]"	 'Yes ']	 'Yes']		 '013 712 2104/ 3284/ 3267']	 '013 712 5122']	 'President Plein, De Villiers Street, Barberton 1300. Next to the Municipality Building.\t']	 '-25.78954; 31.05255\t']
