Region,MagDistrict CourtType,,Office,PreviouslyKnownAs,AlsoKnownAs,EQC,SCC SOC,,MDS,Tel Fax,,Postal Physical,GPS [S;E]
Eastern Cape,Magistrate Court,,Aberdeen,,,Yes,Yes,,,049 846 0013 049 846 0671,,"Private Bag x 206, Aberdeen 2A Porter Street, Aberdeen",E 24.06257; S ‐32.47731
"",,,,,,,,,,,,6270 6270,
Mpumalanga,Bushbuckridge [Bushbuckridge] Branch Court,,Acornhoek,,,No,Yes (Sessions Only),,,013 795 5969 013 799 0407,,"Private Bag X9303, Next to SAPS Acornhoek",‐24.5971; 31.04835
"",,,,,,,,,,,,Bushbuckridge 1280,
Eastern Cape,Periodical Cour,,Addo,,,No,No,,,See Kirkwood,,Main Road (R335),E 25.68985; S ‐33.54771
Eastern Cape,Magistrate Court,,Adelaide,,,Yes,Yes,,,046 684 0025 046 684 1233,,"Private Bag x 310, Adelaide 49A Church Street, Adelaide",E 26.29308; S ‐32.70665
"",,,,,,,,,,,,5760 5760,
Western Cape,Periodical Court,,Albertinia,,,No,No,,,028 735 1007 028 735 1583,,"Private Bag X1, Albertinia 6 William Street, Albertinia",E 21.58298; S ‐34.20496
"",,,,,,,,,,,,6695 6695,
Gauteng,Johannesburg North [Alexandra] Detached Court,,Alexandra,Wynberg [GP],,Yes,Yes,,,011 786 011 786 5191,,"Private Bag X1, Alexandra, 223 2nd Street,  Wynberg",‐26.11211; 28.08758
"",,,,,,,,,,5181/2971; 011,,2014,
"",,,,,,,,,,887 9511,,,
Eastern Cape,Magistrate Court,,Alexandria,,,Yes,Yes,,,046 653 0014 046 653 0164,,"Private Bag x 1, Alexandria 2 Court Street, Alexandria 6185E 26.41158; S ‐33.65066",
"",,,,,,,,,,/1271,,6185,
Eastern Cape,Magistrate Court,,Alice,,Victoria East,Yes,Yes,,,040 653 0037 040 653 2221,,"Private Bag x 1313, Alice Long Market Street, Alice 5700 E 26.83799; S ‐32.78887",
"",,,,,,,,,,,,5700,
Eastern Cape,Periodical Cour,,Alicedale,,,No,No,,,046 622 7303 046 622 5543,,"Private Bag x 1004, 119A High Street,",E 26.08544; S ‐33.31672
Eastern Cape,Magistrate Court,,Aliwal North,,,Yes,Yes,,,051 633 2244 051 634 2293,,"Private Bag x 1003, Aliwal‐ 15 Smith Street, Aliwal‐North",E 26.71037; S ‐30.6871
"",,,,,,,,,,,,North 9750 9750,
Limpopo,Blouberg [Blouberg] Branch Court,,Alldays,,,No,No,,,015 516 015 516 0044,,"Private Bag X2403, Louis Rooibos Street, SAPS Alldays",‐22.68185; 29.10505
"",,,,,,,,,,0181/2/3,,Trichardt 0920,
KwaZulu‐Natal,Branch Court,,Amanzimtoti,,,No,No,,,031 903 0602 031 903 5320,,"Private Bag X2006, c/o Nelson & Adams Road,",E 30.8801; S ‐30.05127
"",,,,,,,,,,,,Amanzimtoti 4124 Amanzimtoti 4126,
Mpumalanga,Dr Pixley Ka Isaka Seme [Amersfoort] Magistrate Court,,Amersfoort,,,Yes,Yes,,,017 753 017 753 1559,,"Private Bag X404, c/o Plain &Sybrand van",
"",,,,,,,,,,1004/1070,,"Amersfoort 2490 Niekerk Street, Amersfoort",‐27.00805; 29.87206
"",,,,,,,,,,,,2490,
Mpumalanga,Mkhondo [Amsterdam] Branch Court,,Amsterdam,,,No,Yes (Sessions Only),,,017 846 9265 017 846 9265,,"Private Bag X1001, 93 President Street,",‐26.62343; 30.66065
"",,,,,,,,,,tel/fax,,Amsterdam 2375 Amsterdam 2375,
Western Cape,Periodical Court,,Ashton,,,No,No,,,023 614 1105 023 614 3974,,"Private Bag X5, Montagu Station Road, Ashton",E 20.06686; S ‐33.83376
"",,,,,,,,,,,,6720,
North West,Madibeng [Ga‐Rankuwa] Periodical Court,,Assen,,,No,No,,,012 252 3223 012 252 3223,,"Private Bag X5002, Brits Assen Police Station",‐25.16724; 27.60205
"",,,,,,,,,,,,0250,
North West,Tswaing [Atamelang]Detached Court,,Atamelang,,,No,Yes,,Yes,018 334 2935/ 018 334 3521,,"Private Bag X1014, 1026 Simi Seadi Avenue,",‐26.50188; 25.36968
"",,,,,,,,,,3520/ 2200/,,Atamelang 2732 Atamelang 2732,
Western Cape,Branch Court,,Athlone,,,No,No,,,021 697 1246 021 697 1746,,"Private Bag X1, Athlone Old Klipfontein Road, Athlone",E 18.50645; S ‐33.96148
"",,,,,,,,,,,,7760 7764,
Western Cape,Detached Court,,Atlantis,,,Yes,Yes Yes,,,021 572 1003 021 572 3230,,"Private Bag X2, Reygersdal c/o Wesfleur Circle &",E 18.49383; S ‐33.56632
