Province,Centre_number,Area,Name of Shelter,Contact Person,Telephone,Fax,Cellphone,Email
EASTERN CAPE,1,Cathcart,Ikhwezi Women Support Centre,Linda Brukwe,045 843 2110,045 843 2429,072 270 3547,ikhwezi@hazeldean.co.za
EASTERN CAPE,2,"East London, Southernwood",Victory House ,Gaye Moonieya,043 722 6104,,,cmrel@mweb.co.za/manager@cmrel.co.za
EASTERN CAPE,3,"East London, Southernwood",Masimanyane Shelter ,Chrislynn Moonieyan,043 743 9169,,,chrislynn@masimanyane.co.za
EASTERN CAPE,4,Jeffrey's Bay,On Eagles Wings Multipurpose Centre,"Mercy Cwayi 
",042 293 3985,042  293 3985,072 692 8392,Oneagleswings@telkomsa.net
EASTERN CAPE,5,King Williams Town,Khanyisa Victim Empowerment Centre,Zanele Qegu,043 642 1646,,071 715 8015,khanyisavep@gmail.com
EASTERN CAPE,6,Port Elizabeth,Rape Crisis Centre (shelter under construction),"Berenice Jacobs-Malgas 
NSM Provincial Representative",041 484 3804,041 487 1384 ,060 4790918,director.rapecrisiscentre@rccpe.co.za
EASTERN CAPE,7,Uitenhage,"Kwanobuhle Outreach Centre 
(government-run shelter)",Adelette Philips,041 978 1499,,,Adelette.philips@ecdsd.gov.za
FREE STATE,1,Bethlehem,Child & Family Welfare,Ellen Mofokeng,058 303 4701,058  303 4701,078 038 3221,ksorgbhm@xsinet.co.za
FREE STATE,2,Parys,Tumahole Victim Support Centre ,Motlalepule Pule,056  819 8881,056  819 0641,073 645 9283,seipatibokolo@gmail.com
FREE STATE,3,QwaQwa,Thusanang Advice Centre Shelter ,Busisiwe Hadebe,058  713 6074,058 717 3999,072 724 1092,tadvice@telkomsa.net
FREE STATE,4,Welkom,Goldfields Family Advice Organisation,"Sarah Lekale
NSM Provincial Representative",057  396 6153,057  352 5854,072 144 7171,lekalese@webmail.co.za
GAUTENG,1,Alexandra,Bombani Shelter,Rachel Nkosi,011 027 1513,,072 244 1630,bombani.shelter@gmail.com
GAUTENG,2,Benoni,Antioch Place of Shelter,Anele Moyo,011 845 4811,,084 840 2402,anelemoyo@gmail.com
GAUTENG,3,Ekurhuleni,CTC Bethesda House,Heila Van Staden,011 845 2224,011 845 2224,083 433 6505,heila@ctcchurch.co.za
GAUTENG,4,Alberton,AMCARE Hannah House,"Marihet Infantino
",011 869 5856,011 869 5639,082 449 5120,marihetinfo@amcare.org.za
GAUTENG,5,Ekurhuleni,POWA (East Rand),Kwena Ramatlotlo,011 901 0292,011 901 0292,072 455 0087,vosloorus@powa.co.za
GAUTENG,6,Ekurhuleni,Mercy Haven,Mercy Mpeebzisi,011 892 2714,011 892 4018,078 669 5663,mpee@execmail.co.za
GAUTENG,7,Ekurhuleni,House of Hope (t/a Leratong Crisis Centre),Claudette Westley,011 363 1368,011 363 1368,076 106 4983,cewestley@mweb.co.za
GAUTENG,8,Daveyton,Theodora Ndaba Victim Support Centre,Nico Molefe,011 426 4776,011 424 0396,079 219 2707,victimsupp@polka.co.za 
GAUTENG,9,JHB Metro,Usindiso,Pastor Jean Bradley,011 334 1143/4,011 344 1206,082 902 4611,"bradleyj@usindisoministries.co.za 
contact@usindisoministries.co.za"
