#,Name of shelter,Location,Management,Capacity,Contact Person,Telephone,Cell
1,Mtshazi Safe Home,"Alfred Nzo, Umzimvubu, MT Frere",NPO  ,3,Nozodwa Kobese,(043) 605 5171,079 693 2105
2,Ubuntu Neighbours Group,"Alfred Nzo, Bizana, Ndabankulu",NPO,2,Nozodwa Kobese,(043) 605 5171,079 693 2105
3,Living waters One Stop Centre,"Amathole, Buffalo City, East London",NPO,13,Nozodwa Kobese,(043) 605 5171,079 693 2105
4,Khanyisa Community Based,Amathole,NPO,16,Nozodwa Kobese,(043) 605 5171,079 693 2105
5,Ikhwezi Women Support Centre,"Amathole, Amahlathi, Stutterheim",NPO,9,Nozodwa Kobese,(043) 605 5171,079 693 2105
6,Butterworth Safe Home,"Amathole, Mnquma, Butterworth",NPO,5,Nozodwa Kobese,(043) 605 5171,079 693 2105
7,Makan Rape Survivor Support,"Cacadu, Makana, Grahamstown",NPO,4,Nozodwa Kobese,(043) 605 5171,079 693 2105
8,Joubertina Safe House,"Cacadu, Koukama, Humansdorp",NPO,6,Nozodwa Kobese,(043) 605 5171,079 693 2105
9,On Eagles Wings Centre,"Cacadu, Koukama, Humansdorp",NPO,5,Nozodwa Kobese,(043) 605 5171,079 693 2105
10,Bolotwa Domestic Violence,"Chris Hani, Instika Yethu, Confimvaba",NPO,3,Nozodwa Kobese,(043) 605 5171,079 693 2105
11,Khuseleka Support Centre,"Chris Hani, Emalahleni, Lady Frere",NPO,3,Nozodwa Kobese,(043) 605 5171,079 693 2105
12,Ezibeleni One Stop Centre,"Chris Hani, Lukhanji, Ezibeleni",NPO,20,Nozodwa Kobese,(043) 605 5171,079 693 2105
13,Masikhawulelane Victim Empowerment,Chris Hani ,NPO,5,Nozodwa Kobese,(043) 605 5171,079 693 2105
14,Maletswai One Stop Centre,"Joe Gqabi, Maletswai, Aliwal North",NPO,6,Nozodwa Kobese,(043) 605 5171,079 693 2105
15,Burgersdorp Safe Home,"Joe Gqabi, Aliwal North",NPO,4,Nozodwa Kobese,(043) 605 5171,079 693 2105
16,Kwanobuhle Outreach Centre,"Nelson Mandela, NMM, Port Elizabeth",NPO,22,Nozodwa Kobese,(043) 605 5171,079 693 2105
17,Mtatha One Stop Centre,"O R Tambo, King Sabatha Dali",NPO,3,Nozodwa Kobese,(043) 605 5171,079 693 2105
18,Safe Home,Mqanduli ,NPO,5,Nozodwa Kobese,(043) 605 5171,079 693 2105
19,Soul Winners Support Centre,"O R Tambo, Nyandeni, Libode / Ngqeleni",NPO,4,Nozodwa Kobese,(043) 605 5171,079 693 2105
