#,Name of shelter,Location,Management,Capacity,Contact Person,Telephone,Cell
1,Amcare ,Alberton,NPO ,10,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
2,Theodorah Ndaba Shield of Love,Daveyton ,NPO ,6,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
3,Bethesda ,Benoni,NPO ,10,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
4,Leratong Place of Love,Springs ,NPO ,21,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
5,People opposing Women Abuse,Ekurhuleni ,NPO ,10,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
6,Usindiso Ministries ,Johannesburg,NPO ,60,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
7,NISAA Institute ,Lenasia,NPO ,22,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
8,Ikhaya Le Themba Life Line,Braamfontein ,State run ,120,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
9,Eldorado Park Women Forum,Eldorado Park ,NPO ,12,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
10,Beth Shan Salvation Army,Pretoria ,NPO ,21,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
11,Potters House ,Pretoria ,NPO ,16,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
12,Mali Martin ,Bronkhorstspruit ,NPO ,14,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
13,Mercy House ,"Capital Park, Pretoria ",NPO ,18,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
14,Bella Maria ,Vanderbylpark ,NPO ,11,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
15,Are Ageng ,Bekkersdal ,NPO ,16,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
16,Polokego shelter ,Krugersdorp ,NPO ,70,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
17,Riet Family Guidance Institute,Randfontein ,NPO ,70,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
18,WAWA ,Toekomsrus ,NPO ,40,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
19,SAVF ,Randfontein ,NPO ,34,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
20,PAHA ,Pretoria ,NPO ,10,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
21,Bombani ,Alexandra ,NPO ,20,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
22,Mercy Haven ,Boksburg ,NPO ,16,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
