#,Name of shelter,Location,Management,Capacity,Contact Person,Telephone,Cell
1,Abrina Esther House,Ashburton ,NPO ,35,Ms Renitha Veerasamy,033 264 2000,086 607 5703
2,The Haven ,Pietermaritzburg ,NPO ,20,Ms Renitha Veerasamy,033 264 2000,086 607 5703
3,KERR House ,Durban ,NPO ,15,Ms Renitha Veerasamy,033 264 2000,086 607 5703
4,SAHARA ,Phoenix ,NPO ,12,Ms Renitha Veerasamy,033 264 2000,086 607 5703
5,Open Door,Pinetown ,NPO ,14,Ms Renitha Veerasamy,033 264 2000,086 607 5703
6,Sinethemba ,Ifafa Beach ,NPO ,25,Ms Renitha Veerasamy,033 264 2000,086 607 5703
7,Ethembeni Crisis Centre ,Kwandengezi ,NPO ,6,Ms Renitha Veerasamy,033 264 2000,086 607 5703
8,Ekuzameni Crisis Centre ,Hillcrest ,NPO ,7,Ms Renitha Veerasamy,033 264 2000,086 607 5703
9,Dundee Crisis Centre ,Dundee ,NPO ,25,Ms Renitha Veerasamy,033 264 2000,086 607 5703
10,Newcastle Crisis Centre,Newcastle,NPO ,12,Ms Renitha Veerasamy,033 264 2000,086 607 5703
11,Ladysmith Crisis Centre ,Ladysmith ,NPO ,25,Ms Renitha Veerasamy,033 264 2000,086 607 5703
12,VJ Kara Family Center ,Chatsworth ,NPO ,19,Ms Renitha Veerasamy,033 264 2000,086 607 5703
13,Izingolweni Crisis Centre,Izingolweni ,NPO ,25,Ms Renitha Veerasamy,033 264 2000,086 607 5703
14,House of Hope ,Mandeni ,NPO ,6,Ms Renitha Veerasamy,033 264 2000,086 607 5703
,,,,246,,,
,,,,,,,
,,,,,,,
,,,,,,,
