#,Name of shelter,Location,Management,Capacity,Contact Person,Telephone,Cell
1,Athlone House ,Paarl – Wineland Overberg ,NPO ,30,Ms Mitchell Palmer,021 483 4405,082 560 840
2,L’Abri De Dieu Safe House ,Paarl ,NPO ,10,Ms Mitchell Palmer,021 483 4405,082 560 840
3,Care Haven Centre,Athlone Metro South ,NPO ,50,Ms Mitchell Palmer,021 483 4405,082 560 840
4,Malitswai One Stop Centre ,Joe Gqabi ,NPO ,6,Ms Mitchell Palmer,021 483 4405,082 560 840
5,Saartjie Baartman Centre for Women and Children,Athlone Metro South ,NPO ,60,Ms Mitchell Palmer,021 483 4405,082 560 840
6,Place of Hope ,Lansdowne Athlone Metro South ,NPO ,25,Ms Mitchell Palmer,021 483 4405,082 560 840
7,Creative Effective Families shelter for Victims of Violence,George ,NPO ,33,Ms Mitchell Palmer,021 483 4405,082 560 840
8,Rosemoore Refuge for Battered Women Phambili,George ,NPO ,25,Ms Mitchell Palmer,021 483 4405,082 560 840
9,Nonceba Shelter ,Khayelitsha ,NPO,10,Ms Mitchell Palmer,021 483 4405,082 560 840
10,Sisters Incorporated ,Wynberg ,NPO ,28,Ms Mitchell Palmer,021 483 4405,082 560 840
11,St Annes Homes ,Cape Town ,NPO ,20,Ms Mitchell Palmer,021 483 4405,082 560 840
12,United Sanctuary ,Vredenberg ,NPO ,20,Ms Mitchell Palmer,021 483 4405,082 560 840
