Name of shelter,Location,Management,Capacity,Contact Person,Telephone,Cell
Athlone House ,Paarl – Wineland Overberg ,NPO ,30,Ms Mitchell Palmer,021 483 4405,082 560 840
L’Abri De Dieu Safe House ,Paarl ,NPO ,10,Ms Mitchell Palmer,021 483 4405,082 560 840
Care Haven Centre,Athlone Metro South ,NPO ,50,Ms Mitchell Palmer,021 483 4405,082 560 840
Malitswai One Stop Centre ,Joe Gqabi ,NPO ,6,Ms Mitchell Palmer,021 483 4405,082 560 840
Saartjie Baartman Centre for Women and Children,Athlone Metro South ,NPO ,60,Ms Mitchell Palmer,021 483 4405,082 560 840
Place of Hope ,Lansdowne Athlone Metro South ,NPO ,25,Ms Mitchell Palmer,021 483 4405,082 560 840
Creative Effective Families shelter for Victims of Violence,George ,NPO ,33,Ms Mitchell Palmer,021 483 4405,082 560 840
Rosemoore Refuge for Battered Women Phambili,George ,NPO ,25,Ms Mitchell Palmer,021 483 4405,082 560 840
Nonceba Shelter ,Khayelitsha ,NPO,10,Ms Mitchell Palmer,021 483 4405,082 560 840
Sisters Incorporated ,Wynberg ,NPO ,28,Ms Mitchell Palmer,021 483 4405,082 560 840
St Annes Homes ,Cape Town ,NPO ,20,Ms Mitchell Palmer,021 483 4405,082 560 840
United Sanctuary ,Vredenberg ,NPO ,20,Ms Mitchell Palmer,021 483 4405,082 560 840
Grace Help ,Mooinooi in Bojanala District,NPO ,37,Ms Dineo Komane,018 384 1638,082 850 9017
Madikwe Crisis Center,Madikwe in Bojanala district,NPO ,4,Ms Dineo Komane,018 384 1638,082 850 9017
Koketso Family Crisis Center,Schweitzer –Renneke in Dr Ruth Segomotsi Mompati district,NPO ,10,Ms Dineo Komane,018 384 1638,082 850 9017
Mothutlong Network on violence against women,Madibeng in Bojanala District,NPO ,4,Ms Dineo Komane,018 384 1638,082 850 9017
Thusego Safe House,Moretele in Bojanala District,NPO ,4,Ms Dineo Komane,018 384 1638,082 850 9017
Ventersdorp Crisis Centre/ Good Samaritans,Ventersdorp in Dr Kenneth Kaunda District,NPO ,4,Ms Dineo Komane,018 384 1638,082 850 9017
Kosh Crisis Centre ,Klerksdorp in Dr Kenneth Kaunda District,NPO ,6,Ms Dineo Komane,018 384 1638,082 850 9017
Dr Ruth Segomotsi Mompati Interim One stop Centre,Naledi/ Vryburg Dr Ruth Segomotsi Mompati District,State ,24,Ms Dineo Komane,018 384 1638,082 850 9017
Mafikeng Crisis Centre,Mafikeng town in Ngaka Modiri Molema District,State ,15,Ms Dineo Komane,018 384 1638,082 850 9017
Botshabelo Crisis Centre,Mogwase in Bojanala District,State ,10,Ms Dineo Komane,018 384 1638,082 850 9017
Stella crisis Centre,Stella in Dr Ruth Segomotsi Mompati District,State ,,Ms Dineo Komane,018 384 1638,082 850 9017
Bolokanang ,Xhariep ,NPO ,11,Ms Prudence Ramolefe,051 409 0566/2,071 857 4086
Philani ,Xhariep ,NPO ,7,Ms Prudence Ramolefe,051 409 0566/2,071 857 4086
Tshireletso ,Xhariep ,NPO ,12,Ms Prudence Ramolefe,051 409 0566/2,071 857 4086
Siville ,Xhariep ,NPO ,6,Ms Prudence Ramolefe,051 409 0566/2,071 857 4086
Serobe (The Nest shelter),Motheo ,NPO ,16,Ms Prudence Ramolefe,051 409 0566/2,071 857 4086
Thusanang Advice Centre,Thabo Mofutsanyane ,NPO ,8,Ms Prudence Ramolefe,051 409 0566/2,071 857 4086
Child and Family Welfare,Thabo Mofutsanyane ,,6,Ms Prudence Ramolefe,051 409 0566/2,071 857 4086
Tumahole ,Fezile Dabi ,NPO ,10,Ms Prudence Ramolefe,051 409 0566/2,071 857 4086
Goldfields Family Advice Organization,Lejweleputswa ,NPO ,16,Ms Prudence Ramolefe,051 409 0566/2,071 857 4086
Amcare ,Alberton,NPO ,10,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
Theodorah Ndaba Shield of Love,Daveyton ,NPO ,6,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
Bethesda ,Benoni,NPO ,10,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
Leratong Place of Love,Springs ,NPO ,21,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
People opposing Women Abuse,Ekurhuleni ,NPO ,10,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
Usindiso Ministries ,Johannesburg,NPO ,60,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
NISAA Institute ,Lenasia,NPO ,22,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
Ikhaya Le Themba Life Line,Braamfontein ,State run ,120,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
Eldorado Park Women Forum,Eldorado Park ,NPO ,12,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
Beth Shan Salvation Army,Pretoria ,NPO ,21,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
Potters House ,Pretoria ,NPO ,16,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
Mali Martin ,Bronkhorstspruit ,NPO ,14,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
Mercy House ,"Capital Park, Pretoria ",NPO ,18,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
Bella Maria ,Vanderbylpark ,NPO ,11,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
Are Ageng ,Bekkersdal ,NPO ,16,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
Polokego shelter ,Krugersdorp ,NPO ,70,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
Riet Family Guidance Institute,Randfontein ,NPO ,70,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
WAWA ,Toekomsrus ,NPO ,40,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
SAVF ,Randfontein ,NPO ,34,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
PAHA ,Pretoria ,NPO ,10,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
Bombani ,Alexandra ,NPO ,20,Ms Estelle Otto/ Ms Myrtle Morris,Tel: 011 355 7862/7854,Cell no:079 891 5893/082 469 0592
